framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1761.96	2018.22	1761.96	0.0002	27.6	98.2	100	100	90	13.78	124.2	41.4	0	1084.67	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	14324	2.39	222256	67534	2	91.68	3.29	11070	263	1956.08	2486.13	1956.08	0.0001	27	96	100	100	90	13.61	109.6	36.53	0	1085.08	0	-0.015	13	888	489	89	604.48	30872.93
jquery	True	1242	2.26	100009	34722	1	99.5	2.88	1627	120	1828.05	2031.67	1828.05	0.1459	0	92	100	99.2	90	14.11	114.4	19.9	0	1081.39	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	776	2.21	60102	15752	1	98.82	3.82	1628	119	1546.08	1850.01	1546.08	0.055	1	99	96	100	90	12.72	99.4	33.13	0	1079.05	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1215.2	1687.91	1215.2	0.0002	0	100	100	100	100	12.32	104.4	34.8	0	1079.26	0	-0.009	4	321	234	67	154.88	17543.75
preact	True	806	2.18	27622	10088	1	100	2.74	1024	104	1360.89	1666.34	1360.89	0.0001	0	99.8	100	100	90	13.85	114.5	38.17	0	1060.7	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1392	2.25	91158	34628	13	100	2.63	1607	118	1418.51	2127.45	1418.51	0.5956	0	83.8	96	100	90	14.38	79.6	26.53	0	1072.67	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1368	2.31	158538	50256	1	100	3.15	1023	105	1941.32	2246.48	1941.32	0.0001	32.7	96.6	100	100	90	14.14	104.6	34.87	0	1070.92	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1179	2.18	26458	9243	1	100	2.86	1622	117	1392.64	1547.46	1392.64	0.0001	0	99.4	100	100	90	14.28	109.5	19.08	0	1058.77	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	3256	2.27	117668	38608	11	68.6	3.05	1024	104	1668.99	2117.38	1668.99	0	0	98	100	96	90	13.97	109.4	36.47	0	1058.61	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1251.07	1553.29	1251.07	0.146	0	94	100	96	90	13.91	104.6	18.27	0	1068.91	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	696	2.17	17211	5999	1	96.97	2.87	1024	104	1210.72	1394.28	1210.72	0.0001	0	100	100	100	90	13.44	104.6	34.87	0	1072.55	0	0	3	743	388	76	74.17	22895.14
vue	True	1447	2.23	76585	29349	1	100	2.61	1633	118	1660	1856.99	1660	0.0001	0	99	100	100	90	12.72	79.7	26.57	0	1076.89	0	-0.006	11	677	217	57	686.46	10853.47
