framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1767.83	2029.19	1767.83	0.0002	29	98.2	100	100	90	14.8	119.5	39.83	0	1025.37	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	14760	2.39	222256	67534	2	91.68	3.29	11608	284	1962.04	2486.45	1962.04	0.0001	27.4	96	100	100	90	14.33	129.5	43.17	0	1025.31	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	1272	2.26	100009	34722	1	99.5	2.88	1639	119	1834.89	2026.94	1834.89	0.1459	0.2	92	100	99.2	90	12.47	114.6	38.2	0	1000.09	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	778	2.21	60102	15752	1	98.82	3.82	1668	118	1550.02	1855.92	1550.02	0.055	2.2	99	96	100	90	14.34	99.6	33.2	0	1021.66	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1214.96	1702.78	1214.96	0.0002	0	100	100	100	100	16.69	49.9	16.63	0	997.01	0	-0.009	4	321	234	67	154.88	17543.75
preact	True	800	2.18	27622	10088	1	100	2.74	1024	105	1357.44	1661.16	1357.44	0.0001	0	100	100	100	90	14.11	84.7	14.95	0	997.95	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	1388	2.25	91158	34628	13	100	2.63	1639	120	1431.89	2125.69	1431.89	1.0091	0	74	96	100	90	16.03	129.3	43.1	0	1015.7	0	-0.009	16	754	414	83	862.46	26425.59
react	True	1410	2.31	158538	50256	1	100	3.15	1024	106	1938.73	2242.79	1938.73	0.0001	51.8	96	100	100	90	12.95	94.6	31.53	0	1005.65	0	-0.014	13	762	438	90	634.69	24213.69
solid	True	1177	2.18	26458	9243	1	100	2.86	1627	118	1358.4	1543	1358.4	0.0001	0	99.6	100	100	90	13.65	119.6	39.87	0	1000.76	0	-0.009	12	786	458	98	581.44	26202.05
svelte	True	3189	2.27	117670	38612	11	68.6	3.05	1028	105	1670.24	2088.34	1670.24	0	0	98.2	100	96	90	13.15	79.7	26.57	0	1004.41	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1252.28	1547.7	1252.28	0.1461	0	94	100	96	90	13.21	99.6	33.2	0	1017.78	0	-0.016	3	560	426	74	71.69	20768.9
vanjs	True	706	2.17	17211	5999	1	96.97	2.87	1025	105	1216.23	1402.95	1216.23	0.0001	0	100	100	100	90	14.91	124.5	41.5	0	1004.6	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1438	2.23	76585	29349	1	100	2.61	1637	119	1662.4	1860.4	1662.4	0.0001	0	99	100	100	90	14.76	124.2	41.4	0	1005.86	0	-0.004	11	677	217	57	686.46	10853.47
