framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1667.63	2026.72	1667.63	0.0001	31.6	98.4	100	100	90	19.05	119.4	39.8	0	1391.66	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	14036	2.39	222256	67534	2	91.68	3.29	11016	261	1956.49	2492.14	1956.49	0.0001	32.4	96	100	100	90	23.53	134.3	44.77	0	1378.73	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	1229	2.26	100009	34722	1	99.5	2.88	1605	118	1838.63	2029.25	1838.63	0.1459	0	92	100	99.2	90	15.08	124.4	41.47	0	1387.97	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	774	2.21	60102	15752	1	98.82	3.82	1603	118	1557.12	1866.38	1557.12	0.055	2.4	99	96	100	90	15.61	124.4	21.57	0	1392.57	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1216.76	1692.11	1216.76	0.0002	0	100	100	100	100	16.01	129.4	22.4	0	1368.54	0	-0.005	4	321	234	67	154.88	17543.75
preact	True	773	2.18	27622	10088	1	100	2.74	1024	104	1361.78	1669.67	1361.78	0.0001	0	99.4	100	100	90	17.56	124.5	41.5	0	1374.04	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1372	2.25	91158	34628	13	100	2.63	1609	117	1404.19	2129.85	1404.19	1.0201	0	74	96	100	90	18.96	124.5	41.5	0	1400.79	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1351	2.31	158538	50256	1	100	3.15	1023	105	1944.51	2251.36	1944.51	0.0001	122.2	94	100	100	90	16.97	109.6	19.1	0	1390.39	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1164	2.18	26458	9243	1	100	2.86	1612	116	1385.3	1546.05	1385.3	0.0001	0	99.4	100	100	90	19.8	129.5	15.5	0	1383.26	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	3182	2.27	117668	38612	11	68.6	3.05	1025	104	1671.06	2069.92	1671.06	0	0	98.2	100	96	90	19.67	99.6	33.2	0	1370.65	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1248.21	1550.68	1248.21	0.146	0	94	100	96	90	13.78	114.4	38.13	0	1370.68	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	685	2.17	17211	5999	1	96.97	2.87	1024	104	1210.59	1394.69	1210.59	0.0001	0	100	100	100	90	20.69	124.3	41.43	0	1368.19	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1439	2.23	76585	29349	1	100	2.61	1590	118	1660.86	1860.89	1660.86	0.0001	0.4	99	100	100	90	17.23	119.5	39.83	0	1393.55	0	-0.003	11	677	217	57	686.46	10853.47
