framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1777.37	2038.69	1777.37	0.0002	30.4	98.2	100	100	90	14.66	34.8	11.6	0	1409.56	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	14602	2.39	222256	67534	2	91.68	3.29	11282	261	1956.28	2489.42	1956.28	0.0001	30	96	100	100	90	26.93	59.7	19.9	0	1404.02	44.9	0.003	13	888	489	89	604.48	30872.93
jquery	True	1256	2.26	100009	34722	1	99.5	2.88	1620	119	1825.01	2038.54	1825.01	0.1459	3.2	92.2	100	99.2	90	18.47	144.2	24.87	0	1384.32	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	787	2.21	60102	15752	1	98.82	3.82	1626	117	1552.52	1858.68	1552.52	0.055	1	99	96	100	90	15.05	24.9	4.98	0	1387.7	0	0	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1189	1709.05	1189	0.0001	0	100	100	100	100	18.7	89.5	29.83	0	1379.66	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	803	2.18	27622	10088	1	100	2.74	1024	105	1345.07	1654.41	1345.07	0.0001	0	99.8	100	100	90	18.97	109.6	19.1	0	1388.64	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1402	2.25	91158	34628	13	100	2.63	1623	118	1419.37	2130.27	1419.37	1.0091	0	74	96	100	90	18.85	89.6	29.87	0	1449.35	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1368	2.31	158538	50256	1	100	3.15	1028	105	1941.92	2247.48	1941.92	0.0002	5.4	97.2	100	100	90	18.79	74.3	13.22	0	1386.82	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	1196	2.18	26458	9243	1	100	2.86	1622	118	1367.5	1552.95	1367.5	0.0001	0	99.4	100	100	90	16.97	94.6	31.53	0	1375.99	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3269	2.27	117668	38612	11	68.6	3.05	1026	104	1685.87	2082.86	1685.87	0	0	98.2	100	96	90	19.21	104.6	34.87	0	1374.91	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1270.99	1547.65	1270.99	0.146	0	94	100	96	90	19.25	99.5	33.17	0	1393.42	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	711	2.17	17211	5999	1	96.97	2.87	1024	104	1212.19	1398.29	1212.19	0.0001	0	100	100	100	90	14.96	59.8	10.8	0	1394.93	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1443	2.23	76585	29349	1	100	2.61	1629	120	1662	1865.19	1662	0.0001	0.6	99	100	100	90	18.41	129.4	22.4	0	1387.4	0	-0.003	11	677	217	57	686.46	10853.47
