framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1856.49	2014.71	1856.49	0.0002	25	98	100	100	90	14.56	139.5	46.5	0	1055.27	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	13864	2.39	222256	67534	2	91.68	3.29	10503	255	1954.32	2482.88	1954.32	0.0001	26.4	96	100	100	90	18.68	119.5	20.75	0	1057.39	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	1181	2.26	100009	34722	1	99.5	2.88	1602	118	1817.68	2028.42	1817.68	0.1459	0	92	100	99.2	90	16.96	124.4	41.47	0	1054.52	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	752	2.21	60102	15752	1	98.82	3.82	1593	118	1545.82	1850.33	1545.82	0.055	2.2	99	96	100	90	12.97	119.6	39.87	0	1040.57	0	-0.005	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1288.3	1711.14	1288.3	0.0002	0	99.8	100	100	100	17.77	39.9	13.3	0	1038.77	44.9	-0.007	4	321	234	67	154.88	17543.75
preact	True	769	2.18	27622	10088	1	100	2.74	1024	105	1366.01	1677.71	1366.01	0.0001	0	99.4	100	100	90	14.74	99.6	33.2	0	1049.64	0	-0.021	12	776	461	101	585.8	25344.18
qwik	True	1329	2.25	91158	34628	13	100	2.63	1582	118	1432.66	2124.88	1432.66	1.0111	0	74	96	100	90	14.54	134.5	44.83	0	1066.58	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1356	2.31	158538	50256	1	100	3.15	1023	105	1946.88	2252.21	1946.88	0.0001	108.6	94.2	100	100	90	13.96	89.6	29.87	0	1039.71	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1111	2.18	26458	9243	1	100	2.86	1597	117	1390.62	1545.93	1390.62	0.0001	0	99.4	100	100	90	14.5	104.5	34.83	0	1044.25	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3108	2.27	117668	38613	11	68.6	3.05	1024	104	1672.45	2090.4	1672.45	0	6.2	98.2	100	96	90	12.42	89.6	29.87	0	1027.79	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.64	1547.79	1246.64	0.146	0	94	100	96	90	18.9	129.5	43.17	0	1064.96	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	676	2.17	17211	5999	1	96.97	2.87	1023	105	1214.38	1399.57	1214.38	0.0001	0	100	100	100	90	19.04	134.4	44.8	0	1043.96	0	0.004	3	743	388	76	74.17	22895.14
vue	True	1337	2.23	76585	29349	1	100	2.61	1601	118	1628.59	1853.28	1628.59	0.0001	0	99	100	100	90	14.07	89.7	29.9	0	1052.99	0	-0.007	11	677	217	57	686.46	10853.47
