framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1769.83	1895.04	1769.83	0.0002	30.6	98.4	100	100	90	17.2	134.2	44.73	0	1084.9	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	15053	2.39	222256	67534	2	91.68	3.29	11609	272	1956.02	2488.83	1956.02	0.0001	29.8	96	100	100	90	25.7	99.5	33.17	0	1084.64	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	1287	2.26	100009	34722	1	99.5	2.88	1633	120	1837.03	2021.55	1837.03	0.1459	0.7	92	100	99.2	90	17.79	139.2	24.03	0	1079.44	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	816	2.21	60102	15752	1	98.82	3.82	1644	119	1554.18	1862.17	1554.18	0.055	6.2	99	96	100	90	17.48	114.5	38.17	0	1080.14	0	-0.003	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1189.13	1733.57	1189.13	0.0001	0	99.8	100	100	100	17.21	139.1	24.02	0	1077.87	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	821	2.18	27622	10088	1	100	2.74	1026	105	1364.5	1673.65	1364.5	0.0001	0	99.4	100	100	90	12.93	134.4	23.23	0	1075.08	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1452	2.25	91158	34628	13	100	2.63	1644	119	1418.07	2127.22	1418.07	1.034	0	74	96	100	90	17.4	139.3	46.43	0	1064.58	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1440	2.31	158538	50256	1	100	3.15	1024	106	1941.69	2247.24	1941.69	0.0002	39.2	96.6	100	100	90	14.78	129.3	43.1	0	1067.46	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	1214	2.18	26458	9243	1	100	2.86	1609	118	1392.28	1547.52	1392.28	0.0001	0	99.4	100	100	90	16.39	134.4	44.8	0	1077.74	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	3297	2.27	117670	38611	11	68.6	3.05	1030	105	1682.2	2113.08	1682.2	0	1.2	98	100	96	90	17.61	129.4	43.13	0	1049.03	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1251.58	1543.24	1251.58	0.1461	0	94	100	96	90	15.58	129.6	43.2	0	1075.38	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	726	2.17	17211	5999	1	96.97	2.87	1024	105	1214.06	1399.29	1214.06	0.0001	0	100	100	100	90	17.93	134.4	44.8	0	1056.88	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1468	2.23	76585	29349	1	100	2.61	1649	119	1632.12	1860.59	1632.12	0.0001	0	99	100	100	90	17.25	128.9	42.97	0	1064.9	0	-0.006	11	677	217	57	686.46	10853.47
