framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1662.34	2015.87	1662.34	0.0002	7.4	98.4	100	100	90	18.82	79.8	26.6	0	1105.76	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	12116	2.39	222256	67534	2	91.68	3.29	9141	230	1954.85	2471.88	1954.85	0.0001	14.6	96	100	100	90	15.05	44.9	14.97	0	1102.99	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	1021	2.26	100009	34722	1	99.5	2.88	1508	113	1839.39	2012.59	1839.39	0.1459	0	92	100	99.2	90	13.69	114.7	38.23	0	1097.64	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	634	2.21	60102	15752	1	98.82	3.82	1509	114	1544.44	1851.16	1544.44	0.055	0	99	96	100	90	15.17	40	13.33	0	1096.37	0	-0.003	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1182.08	1698.01	1182.08	0.0001	0	100	100	100	100	18.77	79.8	28.27	0	1090.85	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	612	2.18	27622	10088	1	100	2.74	1020	104	1359.61	1635.91	1359.61	0.0001	0	99.6	100	100	90	13.75	59.8	19.93	0	1097.33	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1122	2.25	91158	34628	13	100	2.63	1511	113	1417.2	2125.01	1417.2	1.0028	0	74	96	100	90	20.02	69.7	23.23	0	1106.68	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1171	2.31	158538	50256	1	100	3.15	1025	105	1959.12	2263.68	1959.12	0.0001	0	97	100	100	90	16.08	20	6.67	0	1094.61	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	929	2.18	26458	9243	1	100	2.86	1510	113	1386.63	1541.55	1386.63	0.0001	0	99.8	100	100	90	18.65	94.7	16.62	0	1078.36	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	2625	2.27	117670	38608	11	68.6	3.05	1022	104	1666.19	2087.26	1666.19	0	0	98.2	100	96	90	15.25	35	11.67	0	1066.06	0	0.013	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1244.58	1540.77	1244.58	0.1461	0	94	100	96	90	13.66	39.9	13.3	0	1086.09	0	-0.017	3	560	426	74	71.69	20768.9
vanjs	True	555	2.17	17211	5999	1	96.97	2.87	1020	104	1208.67	1388	1208.67	0.0001	0	100	100	100	90	19.89	104.7	34.9	0	1084.26	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1109	2.23	76585	29349	1	100	2.61	1530	114	1658.88	1850.11	1658.88	0.0001	0	99	100	100	90	20.75	84.8	28.27	0	1095.54	0	-0.004	11	677	217	57	686.46	10853.47
