framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1666.68	1893.46	1666.68	0.0002	18.2	98.6	100	100	90	21.26	119.6	39.87	0	1385.75	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	13851	2.39	222256	67534	2	91.68	3.29	10614	252	1954.15	2483.43	1954.15	0.0001	27.2	96	100	100	90	27.39	99.5	33.17	0	1400.18	0	-0.004	13	888	489	89	604.48	30872.93
jquery	True	1200	2.26	100009	34722	1	99.5	2.88	1588	119	1824.33	2020.29	1824.33	0.1459	0	92	100	99.2	90	15.52	29.9	5.82	0	1376.34	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	756	2.21	60102	15752	1	98.82	3.82	1592	119	1551.47	1857.81	1551.47	0.055	0.8	99	96	100	90	19.91	99.6	12.18	0	1373.02	0	0	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1214.43	1697.05	1214.43	0.0002	0	100	100	100	100	19.45	84.5	28.17	0	1382.57	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	775	2.18	27622	10088	1	100	2.74	1024	104	1361.6	1669.1	1383.64	0.0001	0	99.6	100	100	90	20.52	94.5	16.58	0	1389.2	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1352	2.25	91158	34628	13	100	2.63	1605	117	1418.1	2128.51	1418.1	0.8073	0	79	96	100	90	21.21	79.3	26.43	0	1387.96	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1327	2.31	158538	50256	1	100	3.15	1023	105	1943.98	2250.87	1943.98	0.0001	0	97.2	100	100	90	20.65	119.5	39.83	0	1382.82	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1140	2.18	26458	9243	1	100	2.86	1600	117	1393.17	1548.85	1393.17	0.0001	0	99.2	100	100	90	19.73	84.6	28.2	0	1375.48	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3130	2.27	117668	38609	11	68.6	3.05	1026	104	1667.22	2086.69	1667.22	0	0	98.2	100	96	90	19.43	79.7	26.57	0	1359.24	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1242.04	1541.92	1242.04	0.146	0	94	100	96	90	21.37	84.4	28.13	0	1454.7	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	692	2.17	17211	5999	1	96.97	2.87	1023	104	1208.36	1390.94	1208.36	0.0001	0	100	100	100	90	18.54	94.5	31.5	0	1371.23	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1374	2.23	76585	29349	1	100	2.61	1706	118	1662.24	1859.56	1662.24	0.0001	0	99	100	100	90	19.3	89.7	29.9	0	1378.68	0	-0.004	11	677	217	57	686.46	10853.47
