framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1364.42	1883.83	1364.42	0.0003	2.4	99.2	100	100	90	16.88	10	3.33	0	1437.08	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	11098	2.39	222256	67534	2	91.68	3.29	8532	233	1958.73	2477.6	1958.73	0.0001	22	96	100	100	90	23.92	15	5	0	1462.42	0	-0.002	13	888	489	89	604.48	30872.93
jquery	True	882	2.26	100009	34722	1	99.5	2.88	1455	113	1827.61	2010.52	1827.61	0.1459	0	92	100	99.2	90	28.21	44.9	14.97	0	1442.9	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	546	2.21	60102	15752	1	98.82	3.82	1453	113	1542.01	1847.41	1542.01	0.055	0	99	96	100	90	22.05	35	6.67	0	1467.9	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1181.21	1693.05	1181.21	0.0002	0	100	100	100	100	15.89	34.9	11.63	0	1377.23	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	599	2.18	27622	10088	1	100	2.74	1026	104	1358.35	1662.52	1358.35	0.0001	0	99.8	100	100	90	14.29	25	8.33	0	1453.88	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1032	2.25	91158	34628	13	100	2.63	1456	112	1401.95	2123.21	1401.95	0.6058	3.52	84	96	100	90	13.87	15	6.67	0	1384.97	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1037	2.31	158538	50256	1	100	3.15	1019	105	1962.23	2316.95	1962.23	0.0001	199.1	92.4	100	100	90	24.63	20	6.67	0	1451.73	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	849	2.18	26458	9243	1	100	2.86	1467	114	1382.51	1535.76	1382.51	0.0001	0	100	100	100	90	23.11	50	16.67	0	1448.11	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2457	2.27	117670	38610	11	68.6	3.05	1020	104	1667.93	2085.37	1667.93	0	1.3	98.2	100	96	90	26.57	35	11.67	0	1392.68	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1238.98	1540.7	1238.98	0.146	0	94	100	96	90	15.25	10	4.17	0	1413.62	20	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	485	2.17	17211	5999	1	96.97	2.87	1019	104	1211.55	1390.73	1211.55	0.0001	0	100	100	100	90	13.39	5	1.67	0	1412.54	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1012	2.23	76585	29349	1	100	2.61	1460	111	1660.78	1850.98	1660.78	0.0001	0	99	100	100	90	14.23	20	6.67	0	1404.76	0	-0.003	11	677	217	57	686.46	10853.47
