framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1759.36	2015.58	1759.36	0.0002	20.8	98.2	100	100	90	18.77	54.9	18.3	0	1469.28	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	13445	2.39	222256	67534	2	91.68	3.29	10419	255	1954.1	2481.34	1954.1	0.0001	25.2	96	100	100	90	17.19	129.5	43.17	0	1384.18	0	-0.012	13	888	489	89	604.48	30872.93
jquery	True	1125	2.26	100009	34722	1	99.5	2.88	1588	116	1821.18	2018.58	1821.18	0.1459	0	92	100	99.2	90	18.71	104.6	18.27	0	1447.88	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	712	2.21	60102	15752	1	98.82	3.82	1572	116	1548.54	1854.71	1548.54	0.055	0	99	96	100	90	14.09	129.7	22.45	0	1395.11	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1279.35	1732.41	1279.35	0.0002	0	99.6	100	100	100	18.96	94.7	16.62	0	1451.66	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	715	2.18	27622	10088	1	100	2.74	1031	105	1359.86	1664.78	1359.86	0.0001	0	100	100	100	90	17.88	109.6	36.53	0	1439.05	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1260	2.25	91158	34628	13	100	2.63	1574	117	1432.15	2123.69	1432.15	1.003	0	74	96	100	90	18.35	154.4	51.47	0	1445.23	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1254	2.31	158538	50256	1	100	3.15	1028	106	1937.36	2241.44	1937.36	0.0001	0.2	97.2	100	100	90	18.35	99.7	33.23	0	1445.01	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1043	2.18	26458	9243	1	100	2.86	1586	115	1390.8	1544.1	1390.8	0.0001	0	99.8	100	100	90	17.19	144.6	48.2	0	1370.29	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2927	2.27	117670	38609	11	68.6	3.05	1024	105	1667.16	2085.73	1667.16	0	0	98.2	100	96	90	16.91	119.6	39.87	0	1365.67	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1240.92	1535.49	1240.92	0.146	0	94	100	96	90	13.4	149.5	49.83	0	1437.79	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	636	2.17	17211	5999	1	96.97	2.87	1024	105	1209.93	1393.09	1209.93	0.0001	0	100	100	100	90	18.15	109.7	36.57	0	1391.66	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1283	2.23	76585	29349	1	100	2.61	1593	116	1657.18	1852.17	1657.18	0.0001	0	99	100	100	90	18.26	89.7	29.9	0	1382.26	0	-0.003	11	677	217	57	686.46	10853.47
