framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1853.14	2010.63	1853.14	0.0002	27.6	98	100	100	90	21.46	104.5	34.83	0	1402.7	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	13951	2.39	222256	67534	2	91.68	3.29	10862	257	1954.96	2485.03	1954.96	0.0001	28.4	96	100	100	90	28.38	44.8	14.93	0	1395.24	0	-0.002	13	888	489	89	604.48	30872.93
jquery	True	1216	2.26	100009	34722	1	99.5	2.88	1615	118	1843.9	2027.65	1843.9	0.1459	0.2	92	100	99.2	90	21.74	79.7	14.12	0	1374.11	0	-0.005	3	481	287	45	87.4	18604.14
lit	True	761	2.21	60102	15752	1	98.82	3.82	1599	118	1547.62	1853.13	1547.62	0.055	2.4	99	96	100	90	19.94	84.6	28.2	0	1365.64	0	0	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1285.16	1693.26	1285.16	0.0001	0	99.8	100	100	100	29.67	69.7	23.23	0	1383.1	0	-0.001	4	321	234	67	154.88	17543.75
preact	True	776	2.18	27622	10088	1	100	2.74	1024	104	1359.24	1663.85	1359.24	0.0001	0	99.6	100	100	90	19.25	39.8	7.47	0	1424.02	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1375	2.25	91158	34628	13	100	2.63	1608	116	1433.12	2126.54	1433.12	0.8056	0	79	96	100	90	19.97	89.6	29.87	0	1438.8	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1371	2.31	158538	50256	1	100	3.15	1022	105	1925.42	2230.73	1925.42	0.0002	74.6	95.6	100	100	90	19.84	94.5	16.58	0	1362.38	0	-0.002	13	762	438	90	634.69	24213.69
solid	True	1124	2.18	26458	9243	1	100	2.86	1599	117	1359.59	1543.39	1359.59	0.0001	0	100	100	100	90	19.51	104.4	18.23	0	1369.34	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3153	2.27	117670	38612	11	68.6	3.05	1024	104	1668.81	2088.27	1668.81	0	0	98.2	100	96	90	21.93	94.5	31.5	0	1372.05	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1252.94	1550.39	1252.94	0.146	0	94	100	96	90	21.94	109.4	19.07	0	1369.87	0	-0.006	3	560	426	74	71.69	20768.9
vanjs	True	681	2.17	17211	5999	1	96.97	2.87	1024	104	1211.64	1395.06	1211.64	0.0001	0	100	100	100	90	17.65	74.7	24.9	0	1383.57	0	0.004	3	743	388	76	74.17	22895.14
vue	True	1400	2.23	76585	29349	1	100	2.61	1605	116	1597.61	1853.01	1597.61	0.0001	0	99	100	100	90	21.84	58.9	19.63	0	1372.22	0	-0.002	11	677	217	57	686.46	10853.47
