framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1854.32	2011.97	1854.32	0.0001	24	98	100	100	90	17.99	64.7	21.57	0	1014.35	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	13923	2.39	222256	67534	2	91.68	3.29	10873	259	1955.06	2484.19	1955.06	0.0001	26.6	96	100	100	90	14.72	64.7	11.62	0	1005.48	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	1182	2.26	100009	34722	1	99.5	2.88	1602	118	1838.02	2020.12	1838.02	0.1459	0	92	100	99.2	90	16.51	39.9	13.3	0	985.12	0	-0.016	3	481	287	45	87.4	18604.14
lit	True	748	2.21	60102	15752	1	98.82	3.82	1597	117	1548.26	1854.79	1548.26	0.055	1	99	96	100	90	14.32	74.8	24.93	0	985.55	0	-0.003	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1214.87	1744.48	1214.87	0.0002	0	99.8	100	100	100	14.43	64.8	21.6	0	997.26	0	-0.008	4	321	234	67	154.88	17543.75
preact	True	745	2.18	27622	10088	1	100	2.74	1024	104	1360.96	1670.04	1360.96	0.0001	0	99.6	100	100	90	16.8	84.6	14.93	0	980.09	0	-0.009	12	776	461	101	585.8	25344.18
qwik	True	1325	2.25	91158	34628	13	100	2.63	1594	117	1417.17	2125.12	1417.17	0.6055	0	83.8	96	100	90	14.13	49.8	16.6	0	996.75	0	-0.009	16	754	414	83	862.46	26425.59
react	True	1341	2.31	158538	50256	1	100	3.15	1022	105	1956.83	2261.45	1956.83	0.0001	121.3	94	100	100	90	18.12	69.6	23.2	0	997.72	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	1115	2.18	26458	9243	1	100	2.86	1597	117	1330.02	1544.03	1330.02	0.0001	0	99.8	100	100	90	13.32	74.8	24.93	0	982.24	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	3147	2.27	117668	38609	11	68.6	3.05	1033	104	1665.66	2086.09	1665.66	0	2.6	98.2	100	96	90	16.16	34.8	11.6	0	985.2	0	0.011	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.1	1546.8	1246.1	0.146	0	94	100	96	90	17.66	94.6	31.53	0	991.84	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	669	2.17	17211	5999	1	96.97	2.87	1023	104	1214.92	1398.98	1214.92	0.0001	0	100	100	100	90	18.48	94.5	31.5	0	973.18	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1359	2.23	76585	29349	1	100	2.61	1594	117	1630.54	1859.01	1630.54	0.0001	0	99	100	100	90	13.42	64.8	21.6	0	978.01	0	-0.007	11	677	217	57	686.46	10853.47
