framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1775.03	2031.73	1775.03	0.0001	30.2	98.2	100	100	90	14.85	134.4	44.8	0	1091.78	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	14751	2.39	222256	67534	2	91.68	3.29	11498	291	1955.41	2483.11	1955.41	0.0001	25	96	100	100	90	16.94	119.5	39.83	0	1082.21	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	1294	2.26	100009	34722	1	99.5	2.88	1659	119	1822.84	2007.56	1822.84	0.1459	0	92.2	100	99.2	90	16.51	124.5	21.58	0	1070.3	0	-0.015	3	481	287	45	87.4	18604.14
lit	True	774	2.21	60102	15752	1	98.82	3.82	1645	120	1549.98	1857.37	1549.98	0.055	1.4	99	96	100	90	14.73	124.2	41.4	0	1078.58	0	-0.004	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1286.08	1708.34	1286.08	0.0002	0	99.8	100	100	100	14.52	119.4	20.73	0	1067.33	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	802	2.18	27622	10088	1	100	2.74	1026	105	1361.31	1668.87	1361.31	0.0001	0	99.8	100	100	90	14.27	134.3	44.77	0	1078.61	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1414	2.25	91158	34628	13	100	2.63	1634	117	1419.29	2129.49	1419.29	0.8091	0	79	96	100	90	14.71	119.5	39.83	0	1067.36	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1387	2.31	158538	50256	1	100	3.15	1024	106	1939.75	2244.63	1939.75	0.0002	44.8	96.4	100	100	90	17.21	79.6	26.53	0	1064.33	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	1181	2.18	26458	9243	1	100	2.86	1621	118	1390.61	1546.52	1390.61	0.0001	0	99.4	100	100	90	18.18	134.2	44.73	0	1067.84	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3279	2.27	117668	38609	11	68.6	3.05	1027	105	1674.52	2031.01	1674.52	0	0	98.4	100	96	90	19.42	134.5	44.83	0	1061.82	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1244.05	1543.39	1244.05	0.146	0	94	100	96	90	13.05	124.5	21.58	0	1066.69	0	-0.015	3	560	426	74	71.69	20768.9
vanjs	True	701	2.17	17211	5999	1	96.97	2.87	1024	105	1213.08	1397.82	1213.08	0.0001	0	100	100	100	90	12.96	119.5	39.83	0	1068.66	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1468	2.23	76585	29349	1	100	2.61	1618	118	1660.39	1856.79	1660.39	0.0001	0	99	100	100	90	17.46	99.5	33.17	0	1070.99	0	-0.006	11	677	217	57	686.46	10853.47
