framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1768.23	2021	1768.23	0.0002	27.6	98.2	100	100	90	13.11	99.6	33.2	0	1386.34	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	14302	2.39	222256	67534	2	91.68	3.29	11029	264	1955.5	2485.05	1955.5	0.0001	26.8	96	100	100	90	22.83	104.6	34.87	0	1383.75	0	-0.004	13	888	489	89	604.48	30872.93
jquery	True	1226	2.26	100009	34722	1	99.5	2.88	1617	118	1830.7	2030.06	1830.7	0.1459	0	92	100	99.2	90	12.74	109.4	19.07	0	1371.69	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	773	2.21	60102	15752	1	98.82	3.82	1610	118	1548.11	1852.77	1548.11	0.055	3.2	99	96	100	90	15.73	84.6	14.93	0	1390.22	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1214.51	1735.61	1214.51	0.0001	0	99.8	100	100	100	24	94.5	16.58	0	1375.71	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	773	2.18	27622	10088	1	100	2.74	1024	104	1362.94	1671.9	1362.94	0.0001	0	99.6	100	100	90	15.52	114.6	38.2	0	1376.26	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1382	2.25	91158	34628	13	100	2.63	1611	118	1419	2129.81	1419	1.0092	0	74	96	100	90	14.52	104.5	34.83	0	1375.66	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1350	2.31	158538	50256	1	100	3.15	1023	105	1944.24	2249.06	1944.24	0.0002	59.7	95.8	100	100	90	15.46	64.7	21.57	0	1371.61	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	1154	2.18	26458	9243	1	100	2.86	1614	117	1390.63	1545.54	1390.63	0.0001	0	99.4	100	100	90	12.93	124.5	21.58	0	1362.44	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	3238	2.27	117670	38614	11	68.6	3.05	1024	104	1669.47	2066.25	1669.47	0	5.7	98.4	100	96	90	14.96	124.4	41.47	0	1367.73	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.61	1552.54	1250.61	0.146	0	94	100	96	90	14.93	114.4	19.9	0	1383.06	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	699	2.17	17211	5999	1	96.97	2.87	1023	104	1212.47	1398.51	1212.47	0.0001	0	100	100	100	90	13.91	84.6	28.2	0	1361.62	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1401	2.23	76585	29349	1	100	2.61	1617	117	1656.98	1852.46	1656.98	0.0001	0	99	100	100	90	15.35	124.3	41.43	0	1374.96	0	-0.004	11	677	217	57	686.46	10853.47
