framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1872.22	2026.77	1872.22	0.0002	29.2	98	100	100	90	17.82	74.7	24.9	0	1086.24	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	14924	2.39	222256	67534	2	91.68	3.29	11567	271	1955.68	2489.52	1955.68	0.0001	31	96	100	100	90	26.06	89.5	29.83	0	1085.16	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	1288	2.26	100009	34722	1	99.5	2.88	1647	118	1818.91	2005.66	1818.91	0.1459	0.2	92.2	100	99.2	90	18.01	69.7	12.45	0	1075.86	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	801	2.21	60102	15752	1	98.82	3.82	1637	119	1550.45	1855.77	1550.45	0.055	6.8	99	96	100	90	16.88	69.7	23.23	0	1071.9	0	-0.003	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1215.35	1706.29	1215.35	0.0001	1.2	100	100	100	100	14.2	69.8	23.27	0	1061.77	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	823	2.18	27622	10088	1	100	2.74	1025	105	1359.81	1634.71	1359.81	0.0001	0	100	100	100	90	17.87	79.7	14.12	0	1055.93	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1417	2.25	91158	34628	13	100	2.63	1648	117	1433.66	2129.61	1433.66	0.9991	0	74	96	100	90	17.61	94.6	31.53	0	1082.01	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1456	2.31	158538	50256	1	100	3.15	1028	106	1942.18	2284.37	1942.18	0.0001	159.4	93.2	100	100	90	16.82	99.5	33.17	0	1079.26	0	-0.015	13	762	438	90	634.69	24213.69
solid	True	1187	2.18	26458	9243	1	100	2.86	1631	119	1389.02	1543.62	1389.02	0.0001	0	99.8	100	100	90	17.8	84.5	14.92	0	1076.04	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3383	2.27	117668	38611	11	68.6	3.05	1029	105	1674.38	2121.89	1674.38	0	3.4	98	100	96	90	12.88	19.9	6.63	0	1046.66	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.27	1542.9	1250.27	0.1461	0	94	100	96	90	12.83	64.8	21.6	0	1081.62	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	714	2.17	17211	5999	1	96.97	2.87	1023	104	1215.64	1403.66	1215.64	0.0001	0	100	100	100	90	18.16	84.7	28.23	0	1054.31	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1443	2.23	76585	29349	1	100	2.61	1625	118	1642.62	1873.12	1642.62	0.0001	0.2	99	100	100	90	18.36	54.8	18.27	0	1083.29	0	-0.005	11	677	217	57	686.46	10853.47
