framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1770.9	2025.17	1770.9	0.0001	25.4	98.2	100	100	90	15.25	104.7	34.9	0	1109.94	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	14005	2.39	222256	67534	2	91.68	3.29	10716	254	1954.34	2481.11	1954.34	0.0001	24.6	96	100	100	90	13.27	114.4	38.13	0	1095.58	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	1206	2.26	100009	34722	1	99.5	2.88	1607	119	1806.6	2006.39	1806.6	0.1459	0	92.2	100	99.2	90	15.29	119.5	20.75	0	1090.2	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	760	2.21	60102	15752	1	98.82	3.82	1602	118	1546.9	1851.94	1546.9	0.055	3.8	99	96	100	90	13.73	114.5	38.17	0	1095.89	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1181.15	1685.7	1181.15	0.0002	0	100	100	100	100	14.82	119.5	39.83	0	1095.88	0	-0.005	4	321	234	67	154.88	17543.75
preact	True	774	2.18	27622	10088	1	100	2.74	1024	104	1360.58	1667.97	1360.58	0.0001	0	99.6	100	100	90	15.02	64.7	21.57	0	1100.2	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1344	2.25	91158	34628	13	100	2.63	1596	116	1432.25	2124.92	1432.25	1.0094	0	74	96	100	90	13.41	119.5	39.83	0	1097.56	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1345	2.31	158538	50256	1	100	3.15	1023	105	1937.6	2243.15	1937.6	0.0001	254.5	91.8	100	100	90	15.61	94.7	31.57	0	1084.87	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1121	2.18	26458	9243	1	100	2.86	1601	117	1389.95	1544.33	1389.95	0.0001	0	99.6	100	100	90	21.82	144.5	24.92	0	1096.5	0	0.001	12	786	458	98	581.44	26202.05
svelte	True	3147	2.27	117668	38608	11	68.6	3.05	1029	104	1669.02	2116.3	1669.02	0	1.2	98	100	96	90	13.46	104.7	34.9	0	1069.87	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1271.41	1536.14	1271.41	0.146	0	94	100	96	90	16.38	89.6	29.87	0	1100.06	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	674	2.17	17211	5999	1	96.97	2.87	1024	104	1209.42	1393.93	1209.42	0.0001	0	100	100	100	90	15.05	99.5	33.17	0	1090.25	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1386	2.23	76585	29349	1	100	2.61	1597	117	1658.31	1852.26	1658.31	0.0001	0	99	100	100	90	14.86	89.6	29.87	0	1086.08	0	-0.005	11	677	217	57	686.46	10853.47
