framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1667.18	1892.13	1667.18	0.0001	23	98.6	100	100	90	19.08	144.2	48.07	0	999.44	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	14010	2.39	222256	67534	2	91.68	3.29	10773	259	1954.94	2481.81	1954.94	0.0001	24.4	96	100	100	90	26.61	119.3	39.77	0	1010.16	0	0.004	13	888	489	89	604.48	30872.93
jquery	True	1175	2.26	100009	34722	1	99.5	2.88	1599	118	1832.8	2024.1	1832.8	0.1459	0	92	100	99.2	90	17.02	134.5	44.83	0	984.08	0	-0.015	3	481	287	45	87.4	18604.14
lit	True	737	2.21	60102	15752	1	98.82	3.82	1589	118	1553.45	1859.68	1553.45	0.055	6.6	98.8	96	100	90	18.4	129.3	43.1	0	991.84	0	-0.004	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1211.77	1738.96	1211.77	0.0002	0	99.8	100	100	100	26.84	114.5	38.17	0	985.57	0	-0.005	4	321	234	67	154.88	17543.75
preact	True	746	2.18	27622	10088	1	100	2.74	1024	105	1365.33	1677.89	1365.33	0.0001	0	99.2	100	100	90	18.64	124.2	41.4	0	981.43	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1336	2.25	91158	34628	13	100	2.63	1595	119	1417.03	2124.2	1417.03	0.8073	0	79	96	100	90	18.72	139.4	46.47	0	989.76	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1335	2.31	158538	50256	1	100	3.15	1023	105	1936.73	2241.1	1936.73	0.0001	1.6	97.2	100	100	90	18.77	124.5	41.5	0	989.5	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1106	2.18	26458	9243	1	100	2.86	1600	118	1332.62	1548.34	1332.62	0.0001	0	99.4	100	100	90	17.48	129.5	43.17	0	986.21	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	3108	2.27	117670	38615	11	68.6	3.05	1024	105	1668.57	2116.82	1668.57	0	0	98	100	96	90	17.41	119.6	39.87	0	972.41	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.84	1555.59	1247.84	0.146	0	94	100	96	90	17.55	129.2	43.07	0	976.9	0	-0.02	3	560	426	74	71.69	20768.9
vanjs	True	687	2.17	17211	5999	1	96.97	2.87	1023	104	1212.2	1396.31	1212.2	0.0001	0	100	100	100	90	18.74	144.5	48.17	0	992	0	0.004	3	743	388	76	74.17	22895.14
vue	True	1367	2.23	76585	29349	1	100	2.61	1584	116	1627.63	1853.44	1627.63	0.0001	0	99	100	100	90	18.62	144.4	48.13	0	995.64	0	-0.008	11	677	217	57	686.46	10853.47
