framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1655.66	2005.1	1655.66	0.0002	8.8	98.4	100	100	90	14.22	34.9	11.63	0	1102.49	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	10826	2.39	222256	67534	2	91.68	3.29	8399	209	1953.97	2463.36	1953.97	0.0001	7.4	96	100	100	90	12.89	34.9	6.65	0	1097.28	0	-0.008	13	888	489	89	604.48	30872.93
jquery	True	952	2.26	100009	34722	1	99.5	2.88	1465	114	1845.53	2028.9	1845.53	0.1459	0	92	100	99.2	90	17.93	24.9	8.3	0	1088.7	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	582	2.21	60102	15752	1	98.82	3.82	1461	114	1538.08	1842.12	1538.08	0.055	0	99	96	100	90	14.79	49.9	16.63	0	1084.36	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1210.52	1683.46	1210.52	0.0002	0	100	100	100	100	14.57	20	6.67	0	1090.45	0	-0.007	4	321	234	67	154.88	17543.75
preact	True	596	2.18	27622	10088	1	100	2.74	1019	105	1358.83	1633.25	1358.83	0.0001	0	100	100	100	90	23.72	49.8	16.6	0	1096.73	0	-0.001	12	776	461	101	585.8	25344.18
qwik	True	1046	2.25	91158	34628	13	100	2.63	1488	113	1416.2	2120.67	1416.2	0.202	0	94	96	100	90	14.94	44.8	14.93	0	1087	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1042	2.31	158538	50256	1	100	3.15	1018	104	1957.12	2260.69	1957.12	0.0002	0	97	100	100	90	18.32	69.7	23.23	0	1078.95	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	884	2.18	26458	9243	1	100	2.86	1459	113	1315.56	1534.04	1315.56	0.0001	0	100	100	100	90	13.84	34.9	11.63	0	1093.93	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2418	2.27	117670	38608	11	68.6	3.05	1023	104	1664.3	2112.25	1664.3	0	0	98	100	96	90	14.32	30	10	0	1064.02	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1264.26	1529.08	1264.26	0.146	0	94	100	96	90	15.21	49.8	16.6	0	1078.7	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	526	2.17	17211	5999	1	96.97	2.87	1018	103	1213.32	1392.58	1213.32	0.0001	0	100	100	100	90	18.07	59.9	19.97	0	1073.49	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1065	2.23	76585	29349	1	100	2.61	1464	114	1658.51	1845.16	1658.51	0.0001	0	99	100	100	90	14.06	39.9	13.3	0	1078.32	0	-0.008	11	677	217	57	686.46	10853.47
