framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1765.73	2023.22	1765.73	0.0002	28.2	98.2	100	100	90	16.8	134.3	44.77	0	1097.14	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	14115	2.39	222256	67534	2	91.68	3.29	11141	252	1953.64	2481.65	1953.64	0.0001	26.2	96	100	100	90	16.51	124	41.33	0	1084.78	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	1224	2.26	100009	34722	1	99.5	2.88	1603	118	1835.8	2027.5	1835.8	0.1459	0.4	92	100	99.2	90	16.56	114.3	19.88	0	1076.15	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	763	2.21	60102	15752	1	98.82	3.82	1605	119	1547.66	1852.88	1547.66	0.055	1	99	96	100	90	17.21	134.1	44.7	0	1066.14	0	-0.004	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1214.46	1688.9	1214.46	0.0002	0	100	100	100	100	18	134.3	44.77	0	1067.54	0	-0.008	4	321	234	67	154.88	17543.75
preact	True	805	2.18	27622	10088	1	100	2.74	1024	104	1357.91	1631.87	1357.91	0.0001	0	100	100	100	90	16.92	134.3	44.77	0	1060.92	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1395	2.25	91158	34628	13	100	2.63	1602	117	1418.17	2127.87	1418.17	0.8748	0	78.8	96	100	90	17.65	144.2	48.07	0	1085.25	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1366	2.31	158538	50256	1	100	3.15	1023	105	1940.72	2245.88	1940.72	0.0001	65.8	95.6	100	100	90	17.12	139.2	26.53	0	1075.04	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1138	2.18	26458	9243	1	100	2.86	1607	117	1391.52	1546.48	1391.52	0.0001	0	99.6	100	100	90	16.93	124.5	41.5	0	1057.52	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	3304	2.27	117670	38615	11	68.6	3.05	1026	105	1671.76	2058.65	1671.76	0	0	98	100	96	90	16.63	114.5	38.17	0	1061.33	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.83	1555.7	1247.83	0.146	0	94	100	96	90	16.23	144.3	48.1	0	1074.3	0	-0.018	3	560	426	74	71.69	20768.9
vanjs	True	698	2.17	17211	5999	1	96.97	2.87	1023	105	1212.9	1396.35	1212.9	0.0001	0	100	100	100	90	17.55	148.8	49.6	0	1069.68	0	0	3	743	388	76	74.17	22895.14
vue	True	1421	2.23	76585	29349	1	100	2.61	1616	118	1660.48	1857.12	1660.48	0.0001	0	99	100	100	90	16.99	44.9	14.97	0	1082.63	0	-0.007	11	677	217	57	686.46	10853.47
