framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1762.17	1887.11	1762.17	0.0001	26.6	98.4	100	100	90	12.91	109.6	36.53	0	1411.09	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	14178	2.39	222256	67534	2	91.68	3.29	10773	256	1956	2485.8	1956	0.0001	26.8	96	100	100	90	23.66	129.5	43.17	0	1389.69	0	-0.002	13	888	489	89	604.48	30872.93
jquery	True	1218	2.26	100009	34722	1	99.5	2.88	1613	118	1817.16	2017.83	1817.16	0.1459	0	92	100	99.2	90	13.15	109.5	19.08	0	1381.54	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	762	2.21	60102	15752	1	98.82	3.82	1647	120	1547.12	1852.67	1547.12	0.055	1.6	99	96	100	90	16.76	119.4	39.8	0	1392.34	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1216.05	1734.64	1216.05	0.0001	0	99.8	100	100	100	17.43	139.5	46.5	0	1381.35	0	-0.005	4	321	234	67	154.88	17543.75
preact	True	763	2.18	27622	10088	1	100	2.74	1024	104	1364.05	1675.17	1364.05	0.0001	0	99.4	100	100	90	18.01	119.3	20.72	0	1387.82	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1385	2.25	91158	34628	13	100	2.63	1609	118	1402.16	2124.3	1402.16	1.0015	0	74	96	100	90	19.59	139.2	46.4	0	1447.32	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1379	2.31	158538	50256	1	100	3.15	1022	105	1953.85	2269.58	1953.85	0.0001	83.9	95	100	100	90	15.02	119.3	20.72	0	1396	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	1141	2.18	26458	9243	1	100	2.86	1608	118	1392.06	1547.8	1392.06	0.0001	0	99.2	100	100	90	14.61	124.5	21.58	0	1370.49	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3213	2.27	117668	38608	11	68.6	3.05	1024	105	1670.56	2089.5	1670.56	0	0	98.2	100	96	90	15.37	124.4	41.47	0	1368.54	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1244.78	1545.57	1244.78	0.1461	0	94	100	96	90	15.03	119.5	20.75	0	1382.03	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	697	2.17	17211	5999	1	96.97	2.87	1024	105	1208.33	1391.09	1208.33	0.0001	0	100	100	100	90	16.97	129.4	43.13	0	1364.7	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1419	2.23	76585	29349	1	100	2.61	1607	118	1630.11	1858.17	1630.11	0.0001	0	99	100	100	90	18.61	124.4	41.47	0	1379.43	0	-0.004	11	677	217	57	686.46	10853.47
