framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1764.39	2021.8	1764.39	0.0002	22	98.2	100	100	90	18.63	94.7	31.57	0	1003.24	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	13820	2.39	222256	67534	2	91.68	3.29	10604	267	1955.22	2485.23	1955.22	0.0001	27.4	96	100	100	90	18.23	94.3	31.43	0	1000.54	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	1207	2.26	100009	34722	1	99.5	2.88	1581	118	1824.95	2024.73	1824.95	0.1459	0	92	100	99.2	90	18.9	79.7	26.57	0	993.48	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	759	2.21	60102	15752	1	98.82	3.82	1638	118	1550.26	1857.69	1550.26	0.055	1	99	96	100	90	17.53	69.8	23.27	0	985.98	0	-0.005	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1216.83	1707.71	1216.83	0.0002	0	100	100	100	100	18.13	124.5	41.5	0	996.48	0	-0.005	4	321	234	67	154.88	17543.75
preact	True	764	2.18	27622	10088	1	100	2.74	1023	105	1364.16	1674.84	1364.16	0.0001	0	99.2	100	100	90	19.67	99.6	33.2	0	989.28	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1384	2.25	91158	34628	13	100	2.63	1598	117	1419.12	2129.07	1419.12	0.8182	0	78.8	96	100	90	19.56	99.6	33.2	0	990.91	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1352	2.31	158538	50256	1	100	3.15	1023	105	1942.94	2246.91	1942.94	0.0001	67.8	95.6	100	100	90	18.55	134.5	44.83	0	979.77	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1148	2.18	26458	9243	1	100	2.86	1605	117	1357.95	1542.72	1357.95	0.0001	0	99.6	100	100	90	19.02	124.5	41.5	0	992.64	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3123	2.27	117668	38610	11	68.6	3.05	1024	105	1669.78	2086.95	1669.78	0	0	98.2	100	96	90	19.04	89.7	29.9	0	970.1	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1243.68	1537.7	1243.68	0.146	0	94	100	96	90	18.6	104.6	34.87	0	979.26	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	681	2.17	17211	5999	1	96.97	2.87	1023	105	1214.68	1398.62	1214.68	0.0001	0	100	100	100	90	13.25	34.9	11.63	0	974.46	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1349	2.23	76585	29349	1	100	2.61	1580	117	1660.75	1857.13	1660.75	0.0001	0	99	100	100	90	17.8	114.6	38.2	0	980.04	0	-0.006	11	677	217	57	686.46	10853.47
