framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1668.46	1894.74	1668.46	0.0002	26.4	98.6	100	100	90	18.51	109.6	36.53	0	1056.48	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	14352	2.39	222256	67534	2	91.68	3.29	11049	257	1954.72	2484.47	1954.72	0.0001	30.2	96	100	100	90	18.52	114.5	19.92	0	1053.14	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	1242	2.26	100009	34722	1	99.5	2.88	1631	119	1823.31	2020.96	1823.31	0.1459	0	92	100	99.2	90	17.14	144	48	0	1050.01	0	-0.015	3	481	287	45	87.4	18604.14
lit	True	773	2.21	60102	15752	1	98.82	3.82	1610	118	1551.38	1856.98	1551.38	0.055	0.6	99	96	100	90	18.56	109.4	36.47	0	1060.52	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1182.53	1696.99	1182.53	0.0002	0	100	100	100	100	16.63	134.3	44.77	0	1040.43	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	803	2.18	27622	10088	1	100	2.74	1024	105	1360.89	1666.33	1360.89	0.0001	0	99.6	100	100	90	17.02	139.2	46.4	0	1058.92	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1379	2.25	91158	34628	13	100	2.63	1629	117	1432.8	2125.8	1432.8	0.8032	0	79	96	100	90	17.18	144.4	48.13	0	1048.05	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1393	2.31	158538	50256	1	100	3.15	1023	105	1949.41	2255.42	1949.41	0.0002	56.8	95.8	100	100	90	18.9	119.5	39.83	0	1050.53	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1131	2.18	26458	9243	1	100	2.86	1630	117	1383.62	1544.94	1383.62	0.0001	0	99.4	100	100	90	18.68	144.5	24.92	0	1046.48	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	3168	2.27	117668	38610	11	68.6	3.05	1032	104	1672.28	2120	1672.28	0	0	98	100	96	90	18.48	134.3	44.77	0	1031.73	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.47	1540.1	1250.47	0.1461	0	94	100	96	90	17.23	124.5	21.58	0	1051.23	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	699	2.17	17211	5999	1	96.97	2.87	1023	104	1210.63	1394.74	1210.63	0.0001	0	100	100	100	90	17.59	119.5	39.83	0	1048.56	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1420	2.23	76585	29349	1	100	2.61	1638	118	1657.98	1853.58	1657.98	0.0001	0	99	100	100	90	16.77	134.5	44.83	0	1053.92	0	-0.007	11	677	217	57	686.46	10853.47
