framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1680.25	1904.9	1680.25	0.0002	21.9	98.6	100	100	90	14.51	99.6	33.2	0	998.57	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	13557	2.39	222256	67534	2	91.68	3.29	10314	253	1955.35	2483.02	1955.35	0.0001	25	96	100	100	90	15.7	119.5	39.83	0	995.82	0	-0.004	13	888	489	89	604.48	30872.93
jquery	True	1159	2.26	100009	34722	1	99.5	2.88	1576	118	1808.87	2000.21	1808.87	0.1459	0.1	92.2	100	99.2	90	14.59	104.7	34.9	0	999.09	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	725	2.21	60102	15752	1	98.82	3.82	1575	118	1546.09	1851.03	1546.09	0.055	0	99	96	100	90	13.26	114.6	38.2	0	992.11	0	-0.004	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1212.12	1730.62	1212.12	0.0002	0	99.8	100	100	100	15.52	114.6	38.2	0	985.94	0	-0.007	4	321	234	67	154.88	17543.75
preact	True	735	2.18	27622	10088	1	100	2.74	1056	104	1361.69	1669.34	1361.69	0.0001	0	99.6	100	100	90	16.05	104.6	18.27	0	998.39	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	1315	2.25	91158	34628	13	100	2.63	1591	117	1403.53	2128.1	1403.53	1.0075	0	74	96	100	90	15.75	109.5	36.5	0	999.99	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1265	2.31	158538	50256	1	100	3.15	1022	105	1944.01	2248.61	1944.01	0.0002	103.2	94.4	100	100	90	12.72	104.7	34.9	0	980.83	0	-0.014	13	762	438	90	634.69	24213.69
solid	True	1105	2.18	26458	9243	1	100	2.86	1573	117	1389.58	1544.77	1389.58	0.0001	0	99.6	100	100	90	15.14	119.6	39.87	0	983.33	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3048	2.27	117668	38612	11	68.6	3.05	1023	104	1669.78	2027.84	1669.78	0	0.8	98.4	100	96	90	14.9	104.7	34.9	0	973.15	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1249.04	1536.33	1249.04	0.146	0	94	100	96	90	14.91	104.6	34.87	0	987.6	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	645	2.17	17211	5999	1	96.97	2.87	1023	104	1210.91	1392.57	1210.91	0.0001	0	100	100	100	90	14.33	114.5	38.17	0	978.75	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1313	2.23	76585	29349	1	100	2.61	1565	117	1657.29	1850.33	1657.29	0.0001	0	99	100	100	90	13.43	99.6	33.2	0	997.7	0	-0.008	11	677	217	57	686.46	10853.47
