framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1772.19	2026.17	1772.19	0.0002	27.2	98.2	100	100	90	12.72	79.6	26.53	0	1396.45	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	14339	2.39	222256	67534	2	91.68	3.29	11000	260	1955.4	2484.5	2001	0.0001	26.4	96	100	100	90	26.79	124.2	41.4	0	1398.91	0	-0.004	13	888	489	89	604.48	30872.93
jquery	True	1217	2.26	100009	34722	1	99.5	2.88	1619	119	1813.01	2026.31	1813.01	0.1459	0	92	100	99.2	90	14.5	124.5	41.5	0	1453.22	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	766	2.21	60102	15752	1	98.82	3.82	1603	118	1556.33	1864.79	1556.33	0.055	1.2	99	96	100	90	14.77	104.5	12.72	0	1400.33	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1218.16	1688.6	1218.16	0.0002	0	100	100	100	100	13.38	129.4	22.4	0	1426.16	0	-0.005	4	321	234	67	154.88	17543.75
preact	True	760	2.18	27622	10088	1	100	2.74	1024	105	1362.17	1638.26	1362.17	0.0001	0	99.4	100	100	90	14.78	74.7	13.28	0	1381.15	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1394	2.25	91158	34628	13	100	2.63	1614	118	1418.66	2128.81	1418.66	0.8073	0	79	96	100	90	15.97	114.7	38.23	0	1399.65	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1354	2.31	158538	50256	1	100	3.15	1024	105	1962.31	2268.47	1962.31	0.0001	41.4	96.4	100	100	90	14.68	104.5	34.83	0	1385.75	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1168	2.18	26458	9243	1	100	2.86	1617	118	1391.06	1545.59	1391.06	0.0001	0	99.6	100	100	90	14.62	94.4	31.47	0	1392.21	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3174	2.27	117670	38609	11	68.6	3.05	1025	105	1672.09	2090.1	1672.09	0	0	98.2	100	96	90	12.56	119.6	39.87	0	1376.9	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1253.68	1546.64	1253.68	0.1461	0	94	100	96	90	14.59	89.6	15.77	0	1392.23	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	703	2.17	17211	5999	1	96.97	2.87	1024	105	1213.94	1399.91	1213.94	0.0001	0	100	100	100	90	13.41	119.5	39.83	0	1370.71	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1426	2.23	76585	29349	1	100	2.61	1621	119	1661.65	1859.68	1661.65	0.0001	0	99	100	100	90	15.14	124.5	21.58	0	1380.96	0	-0.003	11	677	217	57	686.46	10853.47
