framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1565.98	1892.69	1565.98	0.0002	20.8	98.8	100	100	90	13.92	59.8	19.93	0	1091.33	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	13850	2.39	222256	67534	2	91.68	3.29	10585	260	1953.74	2482.21	1953.74	0.0001	26.6	96	100	100	90	16.08	79.7	14.12	0	1072.04	0	-0.008	13	888	489	89	604.48	30872.93
jquery	True	1194	2.26	100009	34722	1	99.5	2.88	1598	118	1834.19	2024.49	1834.19	0.1459	0	92	100	99.2	90	16.91	64.8	21.6	0	1084.61	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	747	2.21	60102	15752	1	98.82	3.82	1601	119	1538.35	1851.93	1538.35	0.055	1.4	99	96	100	90	16.02	74.7	13.28	0	1063.93	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1217.53	1742.34	1217.53	0.0003	0	99.8	100	100	100	17.82	74.6	24.87	0	1080.71	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	763	2.18	27622	10088	1	100	2.74	1023	104	1364.41	1675.12	1364.41	0.0001	0	99.4	100	100	90	15.27	69.7	12.45	0	1070.73	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1355	2.25	91158	34628	13	100	2.63	1596	116	1432.31	2125.07	1432.31	0.8073	0	79	96	100	90	15.42	39.9	13.3	0	1088.04	0	-0.003	16	754	414	83	862.46	26425.59
react	True	1332	2.31	158538	50256	1	100	3.15	1026	104	1957.73	2261.59	1957.73	0.0001	10.4	97	100	100	90	17.51	74.7	24.9	0	1082.66	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	1118	2.18	26458	9243	1	100	2.86	1593	117	1390.96	1545.94	1390.96	0.0001	0	99.6	100	100	90	15.35	69.8	23.27	0	1061.56	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3123	2.27	117668	38608	11	68.6	3.05	1024	104	1668.34	2087.97	1668.34	0	0	98.2	100	96	90	15.32	49.8	16.6	0	1049.88	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.76	1535.81	1246.76	0.146	0	94	100	96	90	14.23	59.7	19.9	0	1074.84	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	687	2.17	17211	5999	1	96.97	2.87	1023	104	1213.67	1399.31	1213.67	0.0001	0	100	100	100	90	14.64	44.8	14.93	0	1055.74	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1361	2.23	76585	29349	1	100	2.61	1597	117	1661.73	1857	1661.73	0.0001	0	99	100	100	90	15.47	54.8	18.27	0	1067.58	0	-0.003	11	677	217	57	686.46	10853.47
