framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1372.59	1907.24	1372.59	0.0003	22	99.2	100	100	90	14.07	64.7	21.57	0	1079.34	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	13984	2.39	222256	67534	2	91.68	3.29	10838	248	1954.29	2481.43	1954.29	0.0001	25	96	100	100	90	14.64	44.8	8.3	0	1075.64	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	1215	2.26	100009	34722	1	99.5	2.88	1592	117	1830.23	2021.34	1830.23	0.1459	0	92	100	99.2	90	13.2	69.8	23.27	0	1082.72	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	755	2.21	60102	15752	1	98.82	3.82	1581	118	1545.24	1850.67	1545.24	0.055	2	99	96	100	90	17.08	79.7	26.57	0	1077.65	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1182.55	1702.62	1182.55	0.0002	0	100	100	100	100	17.36	64.6	21.53	0	1061.7	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	768	2.18	27622	10088	1	100	2.74	1024	104	1360.01	1665.01	1360.01	0.0001	0	99.8	100	100	90	16.33	84.7	28.23	0	1066.49	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	1341	2.25	91158	34628	13	100	2.63	1596	116	1426.36	2165.7	1426.36	1.0111	0	73.8	96	100	90	14.57	54.8	18.27	0	1089.42	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1369	2.31	158538	50256	1	100	3.15	1022	105	1941.99	2247.09	1941.99	0.0001	106.4	94.4	100	100	90	17.73	54.8	18.27	0	1065.56	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1137	2.18	26458	9243	1	100	2.86	1601	118	1388.3	1541.95	1388.3	0.0001	0	99.8	100	100	90	16.52	89.6	29.87	0	1070.79	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	3174	2.27	117668	38610	11	68.6	3.05	1029	104	1668.09	2115.51	1668.09	0	1.2	98	100	96	90	17.29	74.7	24.9	0	1061.56	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1245.81	1541.22	1245.81	0.146	0	94	100	96	90	12.95	59.8	19.93	0	1081.45	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	676	2.17	17211	5999	1	96.97	2.87	1023	104	1214.75	1398.53	1214.75	0.0001	0	100	100	100	90	17.99	104.6	34.87	0	1062.28	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1382	2.23	76585	29349	1	100	2.61	1601	117	1657.28	1850.71	1657.28	0.0001	0	99	100	100	90	13.68	54.8	18.27	0	1080.86	0	-0.006	11	677	217	57	686.46	10853.47
