framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1474.18	1897.43	1474.18	0.0002	25.4	99	100	100	90	15.58	29.9	9.97	0	1406.93	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	14157	2.39	222256	67534	2	91.68	3.29	10975	253	1954.06	2482.28	1954.06	0.0001	26.2	96	100	100	90	21.31	59.5	19.83	0	1382.55	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	1235	2.26	100009	34722	1	99.5	2.88	1615	118	1826.44	2023.46	1826.44	0.1459	0	92	100	99.2	90	15.34	49.8	16.6	0	1384.06	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	752	2.21	60102	15752	1	98.82	3.82	1605	118	1552.05	1857.48	1552.05	0.055	2.6	99	96	100	90	15.18	39.8	7.47	0	1376.73	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1257.48	1695.39	1257.48	0.0002	0	99.8	100	100	100	17.63	69.7	12.45	0	1452.48	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	756	2.18	27622	10088	1	100	2.74	1024	105	1362.23	1640.24	1362.23	0.0001	0	99.6	100	100	90	15.27	54.8	18.27	0	1386.92	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1391	2.25	91158	34628	13	100	2.63	1617	117	1418.42	2128.04	1418.42	1.0091	0	74	96	100	90	20.61	64.7	21.57	0	1386.25	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1335	2.31	158538	50256	1	100	3.15	1023	105	1963.8	2270.7	1963.8	0.0001	0	97	100	100	90	21.19	84.4	14.9	0	1455.91	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1160	2.18	26458	9243	1	100	2.86	1621	117	1386.5	1540.14	1386.5	0.0001	0	100	100	100	90	14.57	69	23	0	1376.63	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3237	2.27	117670	38609	11	68.6	3.05	1027	104	1671.24	2119.48	1671.24	0	0	98	100	96	90	16.91	54.6	18.2	0	1376.08	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1275.12	1546.42	1275.12	0.146	0	94	100	96	90	15.39	24.9	4.98	0	1439.33	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	686	2.17	17211	5999	1	96.97	2.87	1026	104	1210.38	1395.18	1210.38	0.0001	0	100	100	100	90	15.43	64.7	21.57	0	1371.38	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1412	2.23	76585	29349	1	100	2.61	1613	118	1660.34	1857.91	1660.34	0.0001	0	99	100	100	90	14.73	64.8	11.63	0	1369.63	0	-0.004	11	677	217	57	686.46	10853.47
