framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1775.19	1900.42	1775.19	0.0002	17.6	98.4	100	100	90	15.27	124.5	41.5	0	1085.22	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	14086	2.39	222256	67534	2	91.68	3.29	10516	256	1955.53	2485.7	1955.53	0.0001	27.4	96	100	100	90	17.11	119.5	39.83	0	1080.79	0	-0.004	13	888	489	89	604.48	30872.93
jquery	True	1186	2.26	100009	34722	1	99.5	2.88	1597	118	1829.67	2032.11	1829.67	0.1459	0	92	100	99.2	90	13.36	119.5	20.75	0	1073.48	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	756	2.21	60102	15752	1	98.82	3.82	1574	119	1549.58	1855.66	1549.58	0.055	1.8	99	96	100	90	15.7	114.5	38.17	0	1066.35	0	0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1215.08	1698.61	1215.08	0.0002	0	100	100	100	100	13.38	119.5	39.83	0	1065.98	0	-0.007	4	321	234	67	154.88	17543.75
preact	True	757	2.18	27622	10088	1	100	2.74	1023	104	1363.25	1671.78	1363.25	0.0001	0	99.2	100	100	90	15.11	104.6	34.87	0	1078.54	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1329	2.25	91158	34628	13	100	2.63	1601	117	1417.92	2126.28	1417.92	0.8057	0	79	96	100	90	15.31	109.6	36.53	0	1082.23	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1352	2.31	158538	50256	1	100	3.15	1023	105	1945.25	2252.78	1945.25	0.0001	44.5	96.4	100	100	90	15.1	119.6	39.87	0	1070.64	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1124	2.18	26458	9243	1	100	2.86	1588	117	1358.01	1542.31	1358.01	0.0001	0	99.6	100	100	90	13.53	114.5	38.17	0	1073.01	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	3063	2.27	117670	38614	11	68.6	3.05	1023	104	1674.13	2122.49	1674.13	0	0	98	100	96	90	17.21	119.5	39.83	0	1066.34	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1248.79	1549.59	1248.79	0.146	0	94	100	96	90	15.7	79.6	26.53	0	1082.16	0	-0.015	3	560	426	74	71.69	20768.9
vanjs	True	665	2.17	17211	5999	1	96.97	2.87	1023	104	1223.66	1433.07	1223.66	0.0001	0	100	100	100	90	14.91	119.5	39.83	0	1058.04	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1332	2.23	76585	29349	1	100	2.61	1602	118	1660.82	1857.82	1660.82	0.0001	0	99	100	100	90	13.66	124.5	41.5	0	1064.27	0	-0.008	11	677	217	57	686.46	10853.47
