framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1765.19	2030.25	1765.19	0.0001	26.6	98.2	100	100	90	14.13	89.6	29.87	0	1405.11	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	14208	2.39	222256	67534	2	91.68	3.29	10973	259	1956.41	2484.01	1956.41	0.0001	24.4	96	100	100	90	23.04	109.4	36.47	0	1384.84	0	-0.002	13	888	489	89	604.48	30872.93
jquery	True	1231	2.26	100009	34722	1	99.5	2.88	1617	119	1830.52	2022.97	1830.52	0.1459	0	92	100	99.2	90	14.98	59.7	19.9	0	1382.89	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	766	2.21	60102	15752	1	98.82	3.82	1619	118	1548.88	1855.02	1548.88	0.055	3	99	96	100	90	12.86	114.6	19.93	0	1378.9	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1187.36	1692.85	1187.36	0.0002	0	100	100	100	100	15.57	54.7	9.95	0	1384.47	0	-0.002	4	321	234	67	154.88	17543.75
preact	True	780	2.18	27622	10088	1	100	2.74	1024	104	1361.57	1669.26	1361.57	0.0001	0	99.8	100	100	90	12.78	94.5	31.5	0	1377.7	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1362	2.25	91158	34628	13	100	2.63	1613	116	1417.25	2124.32	1417.25	1.0074	0	74	96	100	90	14.16	99.6	33.2	0	1380.72	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1355	2.31	158538	50256	1	100	3.15	1023	105	1944.07	2249.91	1944.07	0.0002	53.3	96	100	100	90	14.39	44.7	8.28	0	1367.35	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	1158	2.18	26458	9243	1	100	2.86	1616	118	1391.34	1546.42	1391.34	0.0001	0	99.6	100	100	90	14.64	94.5	31.5	0	1379.16	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3183	2.27	117670	38607	11	68.6	3.05	1031	104	1670.24	2059.36	1670.24	0	0	98.4	100	96	90	12.93	69.6	23.2	0	1374.69	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1255.95	1544.87	1255.95	0.146	0	94	100	96	90	14.62	79.6	26.53	0	1385.64	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	680	2.17	17211	5999	1	96.97	2.87	1023	104	1211.53	1395.3	1211.53	0.0001	0	100	100	100	90	13.71	114.5	38.17	0	1368.69	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1412	2.23	76585	29349	1	100	2.61	1604	117	1660.82	1857.62	1660.82	0.0001	0	99	100	100	90	14.34	119.6	39.87	0	1382.14	0	-0.005	11	677	217	57	686.46	10853.47
