framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1763.04	2034.62	1763.04	0.0002	21.8	98.2	100	100	90	13.19	94.6	31.53	0	1417.71	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	13967	2.39	222256	67534	2	91.68	3.29	10738	263	1956.55	2484.82	1956.55	0.0001	25	96	100	100	90	23.21	119.6	39.87	0	1422.14	0	-0.002	13	888	489	89	604.48	30872.93
jquery	True	1205	2.26	100009	34722	1	99.5	2.88	1585	118	1833.53	2025.79	1833.53	0.1459	0	92	100	99.2	90	14.34	99.5	12.17	0	1417.88	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	763	2.21	60102	15752	1	98.82	3.82	1606	117	1547.75	1852.92	1547.75	0.055	0.8	99	96	100	90	15.07	104.6	34.87	0	1396.71	0	0	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1215.35	1696.22	1215.35	0.0002	0	100	100	100	100	15.44	114.5	38.17	0	1393.2	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	760	2.18	27622	10088	1	100	2.74	1024	105	1360.82	1668.23	1360.82	0.0001	0	99.8	100	100	90	15.41	124.6	21.6	0	1389	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1360	2.25	91158	34628	13	100	2.63	1636	118	1417.13	2124.84	1417.13	0.8165	0	78.8	96	100	90	15.16	104.6	34.87	0	1397.6	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1360	2.31	158538	50256	1	100	3.15	1023	105	1955.32	2261.98	1955.32	0.0001	80.4	95	100	100	90	14.42	114.6	38.2	0	1384.61	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1120	2.18	26458	9243	1	100	2.86	1602	117	1389.61	1542.72	1389.61	0.0001	0	99.8	100	100	90	14.56	119.5	39.83	0	1399.79	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3168	2.27	117668	38606	11	68.6	3.05	1025	105	1667.78	2085.88	1667.78	0	0	98.2	100	96	90	13.54	109.5	36.5	0	1379.7	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.55	1551.8	1250.55	0.146	0	94	100	96	90	14.7	119.4	39.8	0	1440.36	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	697	2.17	17211	5999	1	96.97	2.87	1023	104	1210.48	1395.52	1210.48	0.0001	0	100	100	100	90	15.48	104.5	34.83	0	1424.29	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1341	2.23	76585	29349	1	100	2.61	1597	117	1658.1	1853.95	1658.1	0.0001	0	99	100	100	90	15.31	109.6	19.1	0	1398.18	0	-0.004	11	677	217	57	686.46	10853.47
