framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1754.51	2014.09	1754.51	0.0002	14.4	98.2	100	100	90	21.21	74.8	24.93	0	1257.12	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	12579	2.39	222256	67534	2	91.68	3.29	9629	245	1953.64	2476.86	1953.64	0.0001	31.6	96	100	100	90	29.15	94.7	31.57	0	1252.21	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	1075	2.26	100009	34722	1	99.5	2.88	1535	115	1830.26	2028.7	1830.26	0.1459	0	92	100	99.2	90	22	119.6	39.87	0	1267.72	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	663	2.21	60102	15752	1	98.82	3.82	1535	114	1550.5	1855.45	1550.5	0.055	1.4	99	96	100	90	21.21	84.6	28.2	0	1248.77	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1215.05	1692.8	1215.05	0.0001	0	100	100	100	100	20.89	109.5	36.5	0	1250.11	0	-0.011	4	321	234	67	154.88	17543.75
preact	True	663	2.18	27622	10088	1	100	2.74	1022	105	1361.95	1670.02	1361.95	0.0001	0	99.6	100	100	90	21.6	99.6	33.2	0	1249.38	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1202	2.25	91158	34628	13	100	2.63	1547	113	1401.62	2122.85	1401.62	0.2037	0	93.8	96	100	90	20.64	94.7	31.57	0	1250.41	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1205	2.31	158538	50256	1	100	3.15	1021	105	1968.99	2300.89	1968.99	0.0001	230.4	92.2	100	100	90	20.43	94.7	31.57	0	1260.37	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1001	2.18	26458	9243	1	100	2.86	1547	114	1393.92	1548.38	1393.92	0.0001	0	99.4	100	100	90	14.57	20	4.17	0	1247.12	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	2827	2.27	117668	38611	11	68.6	3.05	1031	105	1666.68	2115.06	1666.68	0	1.5	98	100	96	90	17.87	134.6	44.87	0	1247.38	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.44	1545.06	1247.44	0.146	0	94	100	96	90	20.45	64.9	21.63	0	1255.55	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	591	2.17	17211	5999	1	96.97	2.87	1022	104	1215.21	1403.42	1215.21	0.0001	0	100	100	100	90	19.88	104.6	34.87	0	1231.46	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1222	2.23	76585	29349	1	100	2.61	1542	115	1656.98	1856.66	1656.98	0.0001	0.8	99	100	100	90	18.63	114.7	38.23	0	1239.53	0	-0.008	11	677	217	57	686.46	10853.47
