framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1661.61	2016.82	1661.61	0.0002	26.2	98.4	100	100	90	13.05	69.7	23.23	0	1452	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	13733	2.39	222256	67534	2	91.68	3.29	10408	254	1955.14	2482.11	1955.14	0.0001	24.4	96	100	100	90	23.4	114.5	38.17	0	1390.25	0	-0.002	13	888	489	89	604.48	30872.93
jquery	True	1186	2.26	100009	34722	1	99.5	2.88	1597	118	1831.25	2013.08	1831.25	0.1459	0	92	100	99.2	90	14.44	124.5	41.5	0	1378.76	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	742	2.21	60102	15752	1	98.82	3.82	1588	118	1548.25	1853.67	1548.25	0.055	0.4	99	96	100	90	15.22	119.6	20.77	0	1380.5	0	0	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1432.34	1720.5	1432.34	0.0001	0.4	99.4	100	100	100	15.57	134.5	23.25	0	1384.82	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	775	2.18	27622	10088	1	100	2.74	1023	104	1364.71	1675.96	1364.71	0.0001	0	99.6	100	100	90	14.7	129.4	22.4	0	1380.22	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1298	2.25	91158	34628	13	100	2.63	1577	118	1402.89	2126.01	1402.89	0.6304	0	84	96	100	90	15.21	124.5	41.5	0	1398.59	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1315	2.31	158538	50256	1	100	3.15	1023	105	1953.78	2259.38	1953.78	0.0001	56.7	95.8	100	100	90	15.11	109.6	36.53	0	1383.73	0	-0.002	13	762	438	90	634.69	24213.69
solid	True	1121	2.18	26458	9243	1	100	2.86	1585	117	1391.74	1546.21	1391.74	0.0001	0	99.4	100	100	90	14.9	69.7	23.23	0	1377.79	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3072	2.27	117670	38609	11	68.6	3.05	1023	104	1669.58	2088.76	1669.58	0	0	98	100	96	90	15.85	129.5	22.42	0	1373.72	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.67	1547.09	1250.67	0.146	0	94	100	96	90	15.32	114.5	19.92	0	1377.79	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	679	2.17	17211	5999	1	96.97	2.87	1023	104	1215.1	1400.85	1215.1	0.0001	0	100	100	100	90	13.06	124.5	41.5	0	1385.03	0	0	3	743	388	76	74.17	22895.14
vue	True	1351	2.23	76585	29349	1	100	2.61	1609	118	1661.01	1857.72	1661.01	0.0001	0	99	100	100	90	15.22	109.5	19.08	0	1380.11	0	-0.003	11	677	217	57	686.46	10853.47
