framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1870.17	2029.44	1870.17	0.0001	27	98	100	100	90	19.97	69.6	23.2	0	1387.21	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	14239	2.39	222256	67534	2	91.68	3.29	11008	256	1954.71	2484.86	1954.71	0.0001	27.8	96	100	100	90	24.75	39.8	5.53	0	1421.34	0	-0.003	13	888	489	89	604.48	30872.93
jquery	True	1262	2.26	100009	34722	1	99.5	2.88	1616	120	1824.03	2000.14	1824.03	0.1459	0	92.2	100	99.2	90	18.84	144.1	25.68	0	1385.17	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	802	2.21	60102	15752	1	98.82	3.82	1614	118	1552.53	1860.59	1552.53	0.055	1.6	99	96	100	90	18.05	84.7	28.23	0	1379.58	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1185.23	1698.36	1185.23	0.0001	0	100	100	100	100	18.15	104.5	34.83	0	1385.25	0	-0.007	4	321	234	67	154.88	17543.75
preact	True	793	2.18	27622	10088	1	100	2.74	1024	104	1364.27	1643.41	1364.27	0.0001	0	99.6	100	100	90	17.94	79.7	14.12	0	1385.12	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1406	2.25	91158	34628	13	100	2.63	1603	117	1417.83	2126.67	1417.83	0.8074	0	79	96	100	90	19.39	114.3	38.1	0	1389.46	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1339	2.31	158538	50256	1	100	3.15	1023	105	1955.31	2260.27	1955.31	0.0001	88.2	94.8	100	100	90	18.8	129.3	43.1	0	1381.73	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1166	2.18	26458	9243	1	100	2.86	1625	117	1391.46	1546.79	1391.46	0.0001	0	99.6	100	100	90	18.5	89.6	29.87	0	1389.23	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3201	2.27	117668	38608	11	68.6	3.05	1034	105	1669.83	2030.26	1669.83	0	0	98.6	100	96	90	18.72	44.7	14.9	0	1378.85	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1284.85	1556.67	1284.85	0.146	0	94	100	96	90	18.5	49.7	16.57	0	1393.01	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	728	2.17	17211	5999	1	96.97	2.87	1023	105	1212.81	1398.01	1212.81	0.0001	0	100	100	100	90	14.86	59.8	19.93	0	1373.42	0	0	3	743	388	76	74.17	22895.14
vue	True	1449	2.23	76585	29349	1	100	2.61	1614	117	1658.63	1854.95	1658.63	0.0001	0	99	100	100	90	16.98	54.7	9.95	0	1370.46	0	-0.005	11	677	217	57	686.46	10853.47
