framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1368.06	1894.29	1368.06	0.0002	21.2	99.2	100	100	90	17.11	54.5	18.17	0	1090.28	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	14431	2.39	222256	67534	2	91.68	3.29	10833	267	1961.43	2483.14	1961.43	0.0001	26.2	96	100	100	90	19.91	64.7	11.62	0	1071.12	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	1234	2.26	100009	34722	1	99.5	2.88	1621	118	1835.02	2027.13	1835.02	0.1459	0	92	100	99.2	90	14.38	64.8	21.6	0	1077.36	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	758	2.21	60102	15752	1	98.82	3.82	1604	119	1548.45	1854.18	1548.45	0.055	1.2	99	96	100	90	13.24	59.8	19.93	0	1074.58	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1212.37	1704.32	1212.37	0.0001	0	100	100	100	100	15	69.8	23.27	0	1078.03	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	776	2.18	27622	10088	1	100	2.74	1024	104	1344.07	1656.5	1344.07	0.0001	0	99.4	100	100	90	13.96	79.7	26.57	0	1068.38	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1352	2.25	91158	34628	13	100	2.63	1644	118	1417.56	2126.25	1417.56	1.0072	0	74	96	100	90	13.39	79.7	26.57	0	1067.98	0	-0.01	16	754	414	83	862.46	26425.59
react	True	1357	2.31	158538	50256	1	100	3.15	1023	105	1943.37	2249.35	1943.37	0.0002	44.3	96.4	100	100	90	14.41	54.8	18.27	0	1071.29	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1158	2.18	26458	9243	1	100	2.86	1597	118	1361.45	1545.78	1361.45	0.0001	0	99.4	100	100	90	13.17	64.8	21.6	0	1065.73	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	3195	2.27	117668	38611	11	68.6	3.05	1024	104	1669.35	2058.65	1669.35	0	0.4	98.4	100	96	90	14.79	59.8	19.93	0	1057.61	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1309.43	1544.17	1309.43	0.146	0	94	100	96	90	20.55	69.8	15.78	0	1088.29	0	-0.005	3	560	426	74	71.69	20768.9
vanjs	True	684	2.17	17211	5999	1	96.97	2.87	1024	104	1210.29	1392.83	1210.29	0.0001	0	100	100	100	90	13.8	74.6	18.25	0	1066.64	0	0.008	3	743	388	76	74.17	22895.14
vue	True	1397	2.23	76585	29349	1	100	2.61	1608	118	1660.26	1856.79	1660.26	0.0001	0	99	100	100	90	14.58	59.8	19.93	0	1074.39	0	-0.004	11	677	217	57	686.46	10853.47
