framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1832.53	2064.44	1832.53	0.0002	7.6	97.8	100	100	90	19.82	104.6	34.87	0	1388.64	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	11178	2.39	222256	67534	2	91.68	3.29	8923	230	1954.22	2469.93	1954.22	0.0001	13.6	96	100	100	90	22.18	69.8	23.27	0	1381.58	0	-0.001	13	888	489	89	604.48	30872.93
jquery	True	967	2.26	100009	34722	1	99.5	2.88	1500	113	1827.69	2010.34	1827.69	0.1459	0	92	100	99.2	90	20.72	114.6	38.2	0	1369.69	0	-0.006	3	481	287	45	87.4	18604.14
lit	True	615	2.21	60102	15752	1	98.82	3.82	1508	113	1539.67	1843.5	1539.67	0.055	0	99	96	100	90	22.65	64.9	21.63	0	1440.42	0	0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1154.64	1688.77	1154.64	0.0002	0	100	100	100	100	19.66	40	7.5	0	1407.55	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	623	2.18	27622	10088	1	100	2.74	1019	104	1358.04	1663.77	1358.04	0.0001	0	99.8	100	100	90	18.52	25	5	0	1443.5	0	0	12	776	461	101	585.8	25344.18
qwik	True	1107	2.25	91158	34628	13	100	2.63	1520	112	1416.88	2122.25	1416.88	0.8072	0	79	96	100	90	22.61	124.8	41.6	0	1377.54	0	-0.001	16	754	414	83	862.46	26425.59
react	True	1039	2.31	158538	50256	1	100	3.15	1019	104	1966.3	2274.45	1966.3	0.0001	0	97	100	100	90	15.9	44.9	14.97	0	1416.39	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	931	2.18	26458	9243	1	100	2.86	1498	112	1385.47	1539.91	1385.47	0.0001	0	100	100	100	90	15.29	25	8.33	0	1433.99	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2533	2.27	117670	38614	11	68.6	3.05	1022	104	1665.92	2054.59	1665.92	0	0	98.4	100	96	90	23.66	84.8	28.27	0	1377.25	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1238.66	1533.61	1238.66	0.146	0	94	100	96	90	20.23	74.8	24.93	0	1415.15	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	529	2.17	17211	5999	1	96.97	2.87	1019	104	1209.88	1389.62	1209.88	0.0001	0	100	100	100	90	22.64	79.9	28.3	0	1367.9	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1094	2.23	76585	29349	1	100	2.61	1510	112	1659.35	1848.22	1659.35	0.0001	0	99	100	100	90	20.64	114.7	38.23	0	1407.19	0	0	11	677	217	57	686.46	10853.47
