framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1767.92	1890.95	1767.92	0.0003	0.8	98.4	100	100	90	17.85	69.8	23.27	0	1103.68	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	9865	2.39	222256	67534	2	91.68	3.29	7490	215	1953.74	2462.42	1953.74	0.0001	23	95.8	100	100	90	13.39	10	3.33	0	1088.88	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	803	2.26	100009	34722	1	99.5	2.88	1418	112	1832.78	2008.97	1832.78	0.1459	0	92	100	99.2	90	14.34	15	5	0	1088.38	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	495	2.21	60102	15752	1	98.82	3.82	1415	111	1539.87	1844.9	1539.87	0.055	0	99	96	100	90	18.63	94.2	31.4	0	1079.97	0	-0.004	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1181.43	1688.59	1181.43	0.0002	0	100	100	100	100	13.77	10	3.33	0	1093.91	0	-0.008	4	321	234	67	154.88	17543.75
preact	True	523	2.18	27622	10088	1	100	2.74	1020	104	1361.83	1667.74	1361.83	0.0001	0	99.6	100	100	90	14.68	44.9	14.97	0	1093.54	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	934	2.25	91158	34628	13	100	2.63	1408	111	1415.47	2118.95	1415.47	1.0091	0	74	96	100	90	15.02	64.8	21.6	0	1087.98	0	-0.007	16	754	414	83	862.46	26425.59
react	True	903	2.31	158538	50256	1	100	3.15	1016	105	1956.97	2260.45	1956.97	0	0	97	100	100	90	22.33	44.9	14.97	0	1085.84	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	739	2.18	26458	9243	1	100	2.86	1411	112	1382.33	1535.5	1382.33	0	0	100	100	100	90	16.48	35	11.67	0	1076.92	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2183	2.27	117668	38612	11	68.6	3.05	1016	104	1661.71	2081.21	1661.71	0	0	98.2	100	96	90	13.68	30	10	0	1064.38	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1230.67	1525.43	1230.67	0.146	0	94	100	96	90	18.54	59.9	19.97	0	1085.13	0	-0.019	3	560	426	74	71.69	20768.9
vanjs	True	453	2.17	17211	5999	1	96.97	2.87	1017	104	1207.94	1384.12	1207.94	0.0001	0	100	100	100	90	14.82	30	10	0	1080.95	0	0.001	3	743	388	76	74.17	22895.14
vue	True	948	2.23	76585	29349	1	100	2.61	1411	111	1657.09	1842.84	1657.09	0.0001	0	99	100	100	90	14.63	59.9	19.97	0	1087.77	0	-0.007	11	677	217	57	686.46	10853.47
