framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1672.98	1906.41	1672.98	0.0001	23	98.6	100	100	90	15.27	79.6	26.53	0	1417.03	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	14258	2.39	222256	67534	2	91.68	3.29	10913	259	1955.63	2484.45	1955.63	0.0001	26	96	100	100	90	22.29	104.6	34.87	0	1401.74	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	1247	2.26	100009	34722	1	99.5	2.88	1609	119	1851	2029.6	1851	0.1459	0	92	100	99.2	90	14.91	124.5	41.5	0	1414.55	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	777	2.21	60102	15752	1	98.82	3.82	1602	117	1549.61	1855.51	1549.61	0.055	4	99	96	100	90	15.39	84.6	28.2	0	1409.39	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1255.21	1725.12	1255.21	0.0001	0	99.6	100	100	100	13.53	99.6	33.2	0	1404.91	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	775	2.18	27622	10088	1	100	2.74	1024	104	1341.15	1651.52	1341.15	0.0001	0	99.8	100	100	90	14.92	109.6	19.1	0	1397.64	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1372	2.25	91158	34628	13	100	2.63	1626	117	1418.32	2126.21	1418.32	0.8073	0	79	96	100	90	14.8	119.4	20.73	0	1416.21	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1366	2.31	158538	50256	1	100	3.15	1023	105	1949.01	2254.01	1949.01	0.0001	49.8	96	100	100	90	13.04	104.6	34.87	0	1376.34	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	1160	2.18	26458	9243	1	100	2.86	1603	118	1358.59	1542.08	1358.59	0.0001	0	100	100	100	90	15.26	104.3	18.22	0	1455.88	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3209	2.27	117670	38615	11	68.6	3.05	1024	104	1673.71	2123.98	1673.71	0	0	98	100	96	90	13.92	119.5	20.75	0	1403.88	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1285.72	1547.83	1285.72	0.1461	0	94	100	96	90	15.59	104.5	18.25	0	1474.12	0	-0.006	3	560	426	74	71.69	20768.9
vanjs	True	686	2.17	17211	5999	1	96.97	2.87	1023	104	1209.1	1392.05	1209.1	0.0001	0	100	100	100	90	14.98	79.6	14.1	0	1386.49	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1397	2.23	76585	29349	1	100	2.61	1613	118	1658.65	1857.78	1658.65	0.0001	0	99	100	100	90	15.29	114.4	19.9	0	1404.09	0	-0.003	11	677	217	57	686.46	10853.47
