framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1758.42	1884.86	1758.42	0.0002	6.4	98.4	100	100	90	15.07	30	10	0	1019.04	0	-0.019	3	444	299	68	83.56	13776.09
angular	True	10837	2.39	222256	67534	2	91.68	3.29	8425	211	1954.72	2464.48	1954.72	0.0001	7.4	96	100	100	90	15.12	25	8.33	0	997.3	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	934	2.26	100009	34722	1	99.5	2.88	1460	114	1826.74	2002.41	1826.74	0.1459	0	92	100	99.2	90	13.91	79.8	26.6	0	1009.01	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	587	2.21	60102	15752	1	98.82	3.82	1465	114	1543.73	1849.89	1543.73	0.055	0	99	96	100	90	18.44	74.7	13.28	0	993.89	0	0	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1210.79	1688.56	1210.79	0.0002	0	100	100	100	100	18.72	94.6	31.53	0	991.23	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	592	2.18	27622	10088	1	100	2.74	1018	106	1358.08	1662.12	1358.08	0.0001	0	100	100	100	90	18.19	29.9	9.97	0	1006.94	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	1059	2.25	91158	34628	13	100	2.63	1481	114	1416.53	2121.83	1416.53	0.9975	0	74	96	100	90	18.93	104.6	34.87	0	1000.36	0	-0.009	16	754	414	83	862.46	26425.59
react	True	1044	2.31	158538	50256	1	100	3.15	1018	104	1960.72	2266.09	1960.72	0.0001	0	97	100	100	90	13.74	5	1.67	0	1006.71	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	885	2.18	26458	9243	1	100	2.86	1461	113	1380.62	1534.24	1380.62	0.0001	0	100	100	100	90	18.17	64.7	21.57	0	1004.96	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	2464	2.27	117668	38609	11	68.6	3.05	1020	104	1664.54	2083.46	1664.54	0	0	98.2	100	96	90	18.59	59.9	19.97	0	992.16	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1234.04	1526.05	1234.04	0.146	0	94	100	96	90	17.23	39.9	13.3	0	1003.95	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	517	2.17	17211	5999	1	96.97	2.87	1018	104	1210.72	1388.48	1210.72	0.0001	0	100	100	100	90	16.64	25	8.33	0	982.95	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1047	2.23	76585	29349	1	100	2.61	1464	113	1657.99	1844.79	1657.99	0.0001	0	99	100	100	90	18.05	59.9	19.97	0	1007.66	0	-0.005	11	677	217	57	686.46	10853.47
