framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1769.92	2026.39	1769.92	0.0002	29	98.2	100	100	90	16.84	59.7	19.9	0	1395.88	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	13831	2.39	222256	67534	2	91.68	3.29	10840	260	1955.83	2485.14	1955.83	0.0001	26.4	96	100	100	90	13.97	119.6	39.87	0	1387.73	0	-0.014	13	888	489	89	604.48	30872.93
jquery	True	1186	2.26	100009	34722	1	99.5	2.88	1600	118	1855.05	2032.67	1855.05	0.1459	0	92	100	99.2	90	15.82	104.5	12.72	0	1378.95	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	752	2.21	60102	15752	1	98.82	3.82	1602	117	1549.25	1854.88	1549.25	0.055	0.6	99	96	100	90	15.68	74.6	13.27	0	1380.75	0	0	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1280.39	1718.63	1280.39	0.0002	0	99.6	100	100	100	15.78	129.2	43.07	0	1384.43	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	759	2.18	27622	10088	1	100	2.74	1024	104	1360.84	1668.16	1360.84	0.0001	0	99.4	100	100	90	18.16	129.4	22.4	0	1373.09	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1340	2.25	91158	34628	13	100	2.63	1601	118	1401.53	2122.63	1401.53	0.413	0	88.8	96	100	90	13.68	104	34.67	0	1442.62	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1334	2.31	158538	50256	1	100	3.15	1027	105	1941.05	2246.57	1941.05	0.0002	79.2	95.2	100	100	90	15.67	64.7	21.57	0	1370.09	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1126	2.18	26458	9243	1	100	2.86	1610	116	1364.12	1549.99	1364.12	0.0001	0	99.4	100	100	90	18.75	94.5	31.5	0	1365.34	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3161	2.27	117670	38611	11	68.6	3.05	1028	105	1666.14	2086.57	1666.14	0	0	98.2	100	96	90	18.98	124.2	41.4	0	1346.55	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1251.94	1548.12	1251.94	0.1461	0	94	100	96	90	13.85	114.2	19.87	0	1373.03	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	681	2.17	17211	5999	1	96.97	2.87	1024	104	1211.19	1395.18	1211.19	0.0001	0	100	100	100	90	13.82	104.4	18.23	0	1354.67	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1367	2.23	76585	29349	1	100	2.61	1599	117	1659.03	1855.34	1659.03	0.0001	0	99	100	100	90	14.93	119.4	39.8	0	1365.18	0	-0.003	11	677	217	57	686.46	10853.47
