framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1759.83	2015.54	1759.83	0.0002	30.6	98.2	100	100	90	13.33	94.6	16.6	0	1398.72	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	14601	2.39	222256	67534	2	91.68	3.29	11205	264	1955.79	2486.68	1955.79	0.0001	28	96	100	100	90	22.91	104.5	34.83	0	1402.86	0	-0.003	13	888	489	89	604.48	30872.93
jquery	True	1238	2.26	100009	34722	1	99.5	2.88	1610	119	1831.27	2036.6	1831.27	0.1459	0.6	92	100	99.2	90	14.73	99.5	33.17	0	1393.87	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	818	2.21	60102	15752	1	98.82	3.82	1644	120	1550.16	1857.04	1550.16	0.055	2.8	99	96	100	90	14.83	104.4	18.23	0	1397.2	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1216.22	1719.84	1216.22	0.0001	0	100	100	100	100	15.07	119.5	39.83	0	1396.39	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	814	2.18	27622	10088	1	100	2.74	1024	105	1364.27	1643.21	1364.27	0.0001	0	99.4	100	100	90	15.46	64.6	24.87	0	1449.23	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1390	2.25	91158	34628	13	100	2.63	1614	117	1433.02	2126.11	1433.02	1.0091	0	74	96	100	90	14.07	109.4	36.47	0	1465.17	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1410	2.31	158538	50256	1	100	3.15	1024	105	1946.31	2251.87	1946.31	0.0001	58.5	95.8	100	100	90	15.09	119.4	39.8	0	1446.73	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	1197	2.18	26458	9243	1	100	2.86	1600	118	1390.6	1544.6	1390.6	0.0001	0	99.6	100	100	90	15.23	124.5	21.58	0	1378.65	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3263	2.27	117670	38614	11	68.6	3.05	1025	104	1666.75	2117.2	1666.75	0	0	98	100	96	90	13.68	114.5	38.17	0	1375.98	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1244.5	1538.8	1244.5	0.1461	0	94	100	96	90	14.89	104.5	34.83	0	1387.66	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	740	2.17	17211	5999	1	96.97	2.87	1024	105	1214.03	1400.24	1214.03	0.0001	0	100	100	100	90	14.96	94.5	16.58	0	1380.49	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1460	2.23	76585	29349	1	100	2.61	1620	117	1662.32	1860.47	1662.32	0.0001	0	99	100	100	90	15.61	104.4	18.23	0	1385.62	0	-0.003	11	677	217	57	686.46	10853.47
