framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1858.9	2016.07	1858.9	0.0002	29	98	100	100	90	15.17	119.4	39.8	0	1471.5	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	14711	2.39	222256	67534	2	91.68	3.29	12074	282	1964.09	2488.44	1964.09	0.0001	28.4	96	100	100	90	24.11	99.5	33.17	0	1377.71	0	-0.003	13	888	489	89	604.48	30872.93
jquery	True	1323	2.26	100009	34722	1	99.5	2.88	1633	121	1848.88	2025.02	1848.88	0.1459	0	92	100	99.2	90	14.8	119.5	20.75	0	1409.19	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	818	2.21	60102	15752	1	98.82	3.82	1636	118	1566.2	1839.25	1566.2	0.055	3.2	99	96	100	90	14.39	109.6	19.1	0	1399.09	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1217	1695.13	1217	0.0001	0	100	100	100	100	14.81	89.6	29.87	0	1406.78	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	803	2.18	27622	10088	1	100	2.74	1025	105	1361.51	1669.36	1361.51	0.0001	0	99.6	100	100	90	14.2	124.5	21.58	0	1374.67	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1455	2.25	91158	34628	13	100	2.63	1657	117	1434.03	2130.88	1434.03	1.0016	0	74	96	100	90	15.83	114.5	38.17	0	1406.43	0	-0.003	16	754	414	83	862.46	26425.59
react	True	1387	2.31	158538	50256	1	100	3.15	1024	106	1942.58	2248.07	1942.58	0.0002	58.3	96	100	100	90	15.62	104.5	34.83	0	1386.75	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1191	2.18	26458	9243	1	100	2.86	1652	119	1392.63	1547.85	1392.63	0.0001	0	99.6	100	100	90	15.05	109.4	36.47	0	1383.76	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3357	2.27	117668	38612	11	68.6	3.05	1029	104	1679.89	2100.99	1679.89	0	0.1	98	100	96	90	13.2	114.3	38.1	0	1367.88	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1286.65	1558.6	1286.65	0.146	0	94	100	96	90	15.11	109.4	13.27	0	1386.05	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	727	2.17	17211	5999	1	96.97	2.87	1025	105	1208.34	1392.31	1208.34	0.0001	0	100	100	100	90	16.36	109.5	19.08	0	1382.82	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1482	2.23	76585	29349	1	100	2.61	1632	119	1631.23	1861.84	1631.23	0.0001	0	99	100	100	90	14.04	124.5	21.58	0	1394.99	0	-0.003	11	677	217	57	686.46	10853.47
