framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1752.34	2009.42	1752.34	0.0002	15.4	98.2	100	100	90	22.17	69.9	23.3	0	1403.49	0	-0.009	3	444	299	68	83.56	13776.09
angular	True	11685	2.39	222256	67534	2	91.68	3.29	8553	216	1961.56	2470.34	1961.56	0.0001	13.2	96	100	100	90	15.2	59.8	19.93	0	1391.78	0	-0.013	13	888	489	89	604.48	30872.93
jquery	True	965	2.26	100009	34722	1	99.5	2.88	1504	117	1823.29	2018.13	1823.29	0.1459	0	92	100	99.2	90	13.56	44.9	14.97	0	1392.36	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	642	2.21	60102	15752	1	98.82	3.82	1541	117	1547.15	1853.22	1547.15	0.055	0	99	96	100	90	15.03	29.9	5.82	0	1374.45	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1211.82	1690.24	1211.82	0.0002	0	100	100	100	100	18.93	14.9	3.32	0	1382.55	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	649	2.18	27622	10088	1	100	2.74	1020	104	1363.19	1673.29	1363.19	0.0001	0	99.4	100	100	90	15.77	49.8	16.6	0	1416.33	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1126	2.25	91158	34628	13	100	2.63	1526	117	1416.47	2122.7	1416.47	0.8076	8.25	79	96	100	90	17.4	74.7	24.9	0	1448.93	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1117	2.31	158538	50256	1	100	3.15	1019	104	1939.65	2243.08	1939.65	0.0002	71.8	95.4	100	100	90	15	34.9	11.63	0	1379.12	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	949	2.18	26458	9243	1	100	2.86	1504	116	1389.41	1545.11	1389.41	0.0001	0	99.6	100	100	90	17.8	64.8	21.6	0	1388.74	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2723	2.27	117668	38606	11	68.6	3.05	1024	104	1668.69	2058.76	1668.69	0	0	98.4	100	96	90	13.2	20	6.67	0	1364.72	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1240.14	1542.39	1240.14	0.146	0	94	100	96	90	19.61	134.4	23.23	0	1447.34	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	544	2.17	17211	5999	1	96.97	2.87	1021	104	1213.72	1394.18	1213.72	0.0001	0	100	100	100	90	17.45	59.7	19.9	0	1383.24	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1142	2.23	76585	29349	1	100	2.61	1530	116	1659.44	1855.36	1659.44	0.0001	0	99	100	100	90	14.79	44.8	8.3	0	1385.68	0	-0.005	11	677	217	57	686.46	10853.47
