framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1762.7	2020.95	1762.7	0.0002	27.4	98.2	100	100	90	13.67	119.6	39.87	0	1088.35	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	14085	2.39	222256	67534	2	91.68	3.29	10867	254	1954.93	2485.2	1954.93	0.0001	27.8	96	100	100	90	13.34	119.3	20.72	0	1078.25	0	-0.009	13	888	489	89	604.48	30872.93
jquery	True	1208	2.26	100009	34722	1	99.5	2.88	1607	119	1842.57	2029.96	1842.57	0.1459	0	92	100	99.2	90	12.61	124.4	41.47	0	1079.84	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	764	2.21	60102	15752	1	98.82	3.82	1620	119	1555.58	1862.97	1555.58	0.055	4.8	99	96	100	90	14.3	129.5	43.17	0	1069	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1213.46	1699.28	1213.46	0.0001	0	100	100	100	100	13.84	129.5	43.17	0	1077.42	0	-0.007	4	321	234	67	154.88	17543.75
preact	True	772	2.18	27622	10088	1	100	2.74	1023	104	1363.43	1673.74	1363.43	0.0001	0	99.6	100	100	90	18.06	104.5	18.25	0	1063.66	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1364	2.25	91158	34628	13	100	2.63	1608	117	1418.84	2129.82	1418.84	0.8073	0	79	96	100	90	14.11	129.4	43.13	0	1087.43	0	-0.008	16	754	414	83	862.46	26425.59
react	True	1333	2.31	158538	50256	1	100	3.15	1023	105	1942.24	2247.76	1942.24	0.0001	52.6	96	100	100	90	14.13	119.5	39.83	0	1070.84	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	1150	2.18	26458	9243	1	100	2.86	1600	118	1390.81	1546.42	1390.81	0.0001	0	99.4	100	100	90	14.67	124.5	21.58	0	1083.07	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	3199	2.27	117670	38612	11	68.6	3.05	1031	104	1662.4	2095.86	1662.4	0	0	98.2	100	96	90	16.75	134.4	44.8	0	1055.11	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.82	1549.23	1247.82	0.146	0	94	100	96	90	12.47	124.5	41.5	0	1066.17	0	-0.014	3	560	426	74	71.69	20768.9
vanjs	True	680	2.17	17211	5999	1	96.97	2.87	1024	104	1214.77	1398.75	1214.77	0.0001	0	100	100	100	90	12.88	124.5	41.5	0	1060.72	0	0	3	743	388	76	74.17	22895.14
vue	True	1390	2.23	76585	29349	1	100	2.61	1618	117	1659.57	1855.55	1659.57	0.0001	0	99	100	100	90	17.45	129.5	43.17	0	1076.52	0	-0.006	11	677	217	57	686.46	10853.47
