framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1578.38	2041.78	1578.38	0.0002	27.4	98.6	100	100	90	15.91	124.3	21.55	0	1408.11	0	-0.009	3	444	299	68	83.56	13776.09
angular	True	14553	2.39	222256	67534	2	91.68	3.29	11147	258	1954.13	2481.6	1954.13	0.0001	25.4	96	100	100	90	23.58	114.5	38.17	0	1408.49	0	-0.003	13	888	489	89	604.48	30872.93
jquery	True	1241	2.26	100009	34722	1	99.5	2.88	1630	119	1823.99	2020.88	1823.99	0.1459	0	92	100	99.2	90	13.05	119.5	39.83	0	1396.05	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	796	2.21	60102	15752	1	98.82	3.82	1634	119	1550.22	1857.13	1550.22	0.055	4.6	99	96	100	90	15.2	114.2	38.07	0	1398.08	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1284.66	1708.69	1284.66	0.0001	0	99.8	100	100	100	15.57	119.5	39.83	0	1378.52	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	799	2.18	27622	10088	1	100	2.74	1024	104	1359.29	1665.94	1390.4	0.0001	0	99.8	100	100	90	13.23	114.5	38.17	0	1398.47	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1404	2.25	91158	34628	13	100	2.63	1632	117	1419.08	2130.19	1419.08	1.0074	0	74	96	100	90	18.86	129.4	43.13	0	1419.9	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1375	2.31	158538	50256	1	100	3.15	1023	105	1945.97	2250.86	1945.97	0.0001	38.8	96.4	100	100	90	13.69	104.5	34.83	0	1389.06	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	1154	2.18	26458	9243	1	100	2.86	1615	117	1393.52	1549.89	1393.52	0.0001	0	99.2	100	100	90	13.13	79.6	14.1	0	1386.64	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3231	2.27	117670	38613	11	68.6	3.05	1033	104	1669.65	2119.85	1669.65	0	0	98	100	96	90	18.78	144.1	48.03	0	1391.27	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1254.85	1549.47	1254.85	0.1461	0	94	100	96	90	15.62	89.7	15.78	0	1387.47	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	706	2.17	17211	5999	1	96.97	2.87	1024	105	1215.43	1405.95	1215.43	0.0001	0	100	100	100	90	13.45	94.6	31.53	0	1448.63	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1421	2.23	76585	29349	1	100	2.61	1633	118	1629.15	1854.53	1629.15	0.0001	0	99	100	100	90	15.28	109.6	13.29	0	1417.99	0	-0.003	11	677	217	57	686.46	10853.47
