framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1674.72	1896.32	1674.72	0.0002	1.2	98.6	100	100	90	15.87	15	5	0	1420.62	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	10891	2.39	222256	67534	2	91.68	3.29	8244	215	1958.82	2465.72	1958.82	0.0001	10	96	100	100	90	18.44	69.8	23.27	0	1462.47	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	936	2.26	100009	34722	1	99.5	2.88	1488	112	1829.95	2005.53	1829.95	0.1459	0	92	100	99.2	90	18.45	94.7	31.57	0	1408.34	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	584	2.21	60102	15752	1	98.82	3.82	1468	113	1539.33	1843.5	1539.33	0.055	0	99	96	100	90	13.41	44.9	14.97	0	1450.66	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1206.52	1681.9	1206.52	0.0002	0	100	100	100	100	20.2	74.8	24.93	0	1452.64	0	-0.003	4	321	234	67	154.88	17543.75
preact	True	582	2.18	27622	10088	1	100	2.74	1019	104	1358.24	1633.96	1358.24	0.0001	0	100	100	100	90	24.62	15	5	0	1457.39	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1060	2.25	91158	34628	13	100	2.63	1470	113	1432.16	2122.71	1432.16	0.8012	0	79	96	100	90	16.08	30	10	0	1401.21	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1015	2.31	158538	50256	1	100	3.15	1023	104	1959.31	2263.97	1959.31	0.0002	0	97	100	100	90	19.38	69.9	23.3	0	1450.23	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	857	2.18	26458	9243	1	100	2.86	1481	113	1354.01	1537.81	1354.01	0.0001	0	100	100	100	90	14.36	25	5	0	1442.7	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2415	2.27	117670	38609	11	68.6	3.05	1019	104	1667.87	2058.93	1667.87	0	0	98.4	100	96	90	14.75	25	8.33	0	1398.6	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1233.31	1532.95	1233.31	0.146	0	94	100	96	90	21.85	64.9	11.65	0	1408.96	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	519	2.17	17211	5999	1	96.97	2.87	1019	104	1214.58	1395.87	1214.58	0.0001	0	100	100	100	90	13.81	20	6.67	0	1430.05	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1044	2.23	76585	29349	1	100	2.61	1459	112	1656.15	1845.82	1656.15	0.0001	0	99	100	100	90	14.64	35	11.67	0	1426.17	0	-0.004	11	677	217	57	686.46	10853.47
