framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1761.17	2016.17	1761.17	0.0001	29	98.2	100	100	90	13.48	109.5	36.5	0	1088.85	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	14389	2.39	222256	67534	2	91.68	3.29	11243	264	1955.04	2483.56	1955.04	0.0001	26	96	100	100	90	13.54	104.6	34.87	0	1074.93	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	1246	2.26	100009	34722	1	99.5	2.88	1631	120	1832.45	2023.77	1832.45	0.1459	0.1	92	100	99.2	90	14.09	64.7	11.62	0	1065.93	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	770	2.21	60102	15752	1	98.82	3.82	1631	120	1549.98	1856.06	1549.98	0.055	2.2	99	96	100	90	13.76	89.6	29.87	0	1080.32	0	-0.003	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1359.9	1687.45	1359.9	0.0002	0	99.6	100	100	100	13.79	74.6	24.87	0	1073.76	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	773	2.18	27622	10088	1	100	2.74	1025	105	1359.36	1664.05	1359.36	0.0001	0	99.8	100	100	90	14.02	114.5	38.17	0	1060.89	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1391	2.25	91158	34628	13	100	2.63	1621	117	1432.8	2127.39	1432.8	0.8017	0	79	96	100	90	16.98	84.6	28.2	0	1068.55	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1378	2.31	158538	50256	1	100	3.15	1024	106	1943.96	2258.74	1943.96	0.0002	109.8	94.4	100	100	90	13.31	114.5	38.17	0	1077.54	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1163	2.18	26458	9243	1	100	2.86	1608	118	1392.39	1548.98	1392.39	0.0001	0	99.2	100	100	90	13.99	84.7	28.23	0	1074.99	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	3265	2.27	117670	38611	11	68.6	3.05	1030	105	1669.06	2119.52	1669.06	0	4.5	98	100	96	90	12.5	109.5	36.5	0	1050.36	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1242.63	1536.77	1242.63	0.146	0	94	100	96	90	14.74	84.6	28.2	0	1068.52	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	696	2.17	17211	5999	1	96.97	2.87	1024	105	1212.05	1396.28	1212.05	0.0001	0	100	100	100	90	13.5	89.6	29.87	0	1057.3	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1415	2.23	76585	29349	1	100	2.61	1614	119	1657.48	1852.63	1657.48	0.0001	0	99	100	100	90	13.71	114.2	38.07	0	1071.82	0	-0.007	11	677	217	57	686.46	10853.47
