framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1667.25	2021.77	1667.25	0.0002	29.6	98.4	100	100	90	13.96	124.5	41.5	0	1076.01	0	-0.019	3	444	299	68	83.56	13776.09
angular	True	14900	2.39	222256	67534	2	91.68	3.29	11477	272	1955.31	2486.36	1955.31	0.0001	29.6	96	100	100	90	13.64	124.3	21.55	0	1070.72	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	1274	2.26	100009	34722	1	99.5	2.88	1625	118	1843.65	2019.58	1843.65	0.1459	0	92	100	99.2	90	16.66	124.5	21.58	0	1069.11	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	806	2.21	60102	15752	1	98.82	3.82	1620	119	1551.57	1857.06	1551.57	0.055	1.4	99	96	100	90	17.33	74.7	24.9	0	1061.53	0	-0.003	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1284.82	1693.85	1284.82	0.0002	0	99.8	100	100	100	13.66	119.5	39.83	0	1077.04	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	823	2.18	27622	10088	1	100	2.74	1024	105	1338.72	1643.78	1338.72	0.0001	0	100	100	100	90	13.43	99.6	33.2	0	1077.92	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1474	2.25	91158	34628	13	100	2.63	1632	118	1441.76	2166.45	1441.76	0.7974	0	78.8	96	100	90	16.83	114.4	38.13	0	1082.73	0	-0.008	16	754	414	83	862.46	26425.59
react	True	1401	2.31	158538	50256	1	100	3.15	1023	105	1941.01	2245.92	1941.01	0.0001	37.8	96.6	100	100	90	17.75	114.5	38.17	0	1072.77	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	1217	2.18	26458	9243	1	100	2.86	1634	118	1389.84	1544.75	1389.84	0.0001	0	99.8	100	100	90	13.68	119.4	39.8	0	1076.91	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3352	2.27	117670	38612	11	68.6	3.05	1034	105	1670.19	2117.31	1670.19	0	0	98	100	96	90	16.42	128.9	42.97	0	1060.8	0	-0.007	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.14	1542.78	1246.14	0.1461	0	94	100	96	90	13.78	119.5	39.83	0	1057.54	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	716	2.17	17211	5999	1	96.97	2.87	1024	105	1214.76	1401.73	1214.76	0.0001	0	100	100	100	90	13.55	124.4	41.47	0	1052.68	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1473	2.23	76585	29349	1	100	2.61	1636	117	1659.89	1855.64	1659.89	0.0001	0	99	100	100	90	14.01	119.6	39.87	0	1072.91	0	-0.008	11	677	217	57	686.46	10853.47
