framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1762	2021.22	1762	0.0002	23.8	98.2	100	100	90	17.62	114.5	38.17	0	1389.66	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	14457	2.39	222256	67534	2	91.68	3.29	11109	262	1955.81	2488.32	1955.81	0.0001	29.6	96	100	100	90	28.09	109.6	36.53	0	1374.9	0	-0.002	13	888	489	89	604.48	30872.93
jquery	True	1264	2.26	100009	34722	1	99.5	2.88	1637	119	1852.76	2028.14	1852.76	0.1459	0.2	92	100	99.2	90	18.37	114.5	38.17	0	1377.12	0	-0.006	3	481	287	45	87.4	18604.14
lit	True	789	2.21	60102	15752	1	98.82	3.82	1620	118	1548.54	1854.01	1548.54	0.055	4.2	99	96	100	90	21.69	144	48	0	1419.74	0	0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1208.99	1685.16	1208.99	0.0002	0	100	100	100	100	17.89	124.4	21.57	0	1371.36	0	-0.001	4	321	234	67	154.88	17543.75
preact	True	769	2.18	27622	10088	1	100	2.74	1024	104	1362.13	1642.19	1362.13	0.0001	0	99.6	100	100	90	19.45	134.1	44.7	0	1372.43	0	-0.014	12	776	461	101	585.8	25344.18
qwik	True	1363	2.25	91158	34628	13	100	2.63	1630	118	1402.31	2124.05	1402.31	0.8073	0	79	96	100	90	15.87	109.5	36.5	0	1382.86	0	-0.003	16	754	414	83	862.46	26425.59
react	True	1402	2.31	158538	50256	1	100	3.15	1024	105	1961.82	2267.73	1961.82	0.0002	3.6	97	100	100	90	17.82	119.3	39.77	0	1371	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1154	2.18	26458	9243	1	100	2.86	1619	118	1364.43	1550.24	1364.43	0.0001	0	99.4	100	100	90	18.31	139.2	24.03	0	1389.64	0	-0.001	12	786	458	98	581.44	26202.05
svelte	True	3215	2.27	117668	38609	11	68.6	3.05	1025	104	1670.96	2121.48	1670.96	0	0	98	100	96	90	18.57	109.4	36.47	0	1364.24	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.13	1551.7	1250.13	0.146	0	94	100	96	90	18.16	44.8	11.62	0	1374.17	0	-0.006	3	560	426	74	71.69	20768.9
vanjs	True	699	2.17	17211	5999	1	96.97	2.87	1024	104	1214.97	1401.25	1214.97	0.0001	0	100	100	100	90	15.52	119.5	39.83	0	1380.7	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1435	2.23	76585	29349	1	100	2.61	1616	117	1659.9	1857.25	1659.9	0.0001	0	99	100	100	90	21.52	119.4	14.38	0	1373.51	0	-0.002	11	677	217	57	686.46	10853.47
