framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1861.49	2017.03	1861.49	0.0002	25.8	98	100	100	90	18.75	134.4	23.23	0	1398.54	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	14138	2.39	222256	67534	2	91.68	3.29	10989	255	1956.03	2483.85	1956.03	0.0001	24.8	96	100	100	90	17.48	104.4	18.23	0	1462.39	0	-0.004	13	888	489	89	604.48	30872.93
jquery	True	1232	2.26	100009	34722	1	99.5	2.88	1599	118	1807.33	2029.79	1807.33	0.1459	0	92	100	99.2	90	16.96	59.7	19.9	0	1395.67	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	767	2.21	60102	15752	1	98.82	3.82	1610	119	1551.47	1858.41	1551.47	0.055	3.4	99	96	100	90	18.92	59.7	19.9	0	1384.37	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1216.93	1745.18	1216.93	0.0002	0	99.8	100	100	100	18.95	59.7	19.9	0	1403.7	0	0.001	4	321	234	67	154.88	17543.75
preact	True	778	2.18	27622	10088	1	100	2.74	1024	105	1359.99	1666.89	1359.99	0.0001	0	99.8	100	100	90	19	124.5	41.5	0	1372.99	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1379	2.25	91158	34628	13	100	2.63	1615	117	1433.79	2128.7	1433.79	0.8053	0	78.8	96	100	90	18.89	89.6	29.87	0	1396.57	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1362	2.31	158538	50256	1	100	3.15	1023	105	1943.66	2247.8	1943.66	0.0001	80.2	95.2	100	100	90	18.61	54.7	18.23	0	1379.28	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1139	2.18	26458	9243	1	100	2.86	1610	117	1391.75	1546.72	1391.75	0.0001	0	99.4	100	100	90	16.52	94.6	31.53	0	1397	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3202	2.27	117668	38610	11	68.6	3.05	1029	104	1667.53	2056.64	1667.53	0	0	98.4	100	96	90	18.44	89.5	29.83	0	1380.46	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1241.57	1542.75	1241.57	0.146	0	94	100	96	90	16.64	89.6	15.77	0	1454.39	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	689	2.17	17211	5999	1	96.97	2.87	1023	104	1212.03	1396.65	1212.03	0.0001	0	100	100	100	90	18.49	74.6	24.87	0	1411.44	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1398	2.23	76585	29349	1	100	2.61	1616	118	1660.19	1857.49	1660.19	0.0001	0	99	100	100	90	18.9	64.7	21.57	0	1393.63	0	-0.005	11	677	217	57	686.46	10853.47
