framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1758.59	1883.48	1758.59	0.0002	5.8	98.4	100	100	90	17.95	44.9	14.97	0	1431.3	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	11617	2.39	222256	67534	2	91.68	3.29	8924	229	1954.69	2471.04	1954.69	0.0001	14	96	100	100	90	16.01	44.9	16.63	0	1416.07	0	-0.003	13	888	489	89	604.48	30872.93
jquery	True	974	2.26	100009	34722	1	99.5	2.88	1490	114	1829.05	2023.08	1829.05	0.1459	0	92	100	99.2	90	20.16	54.9	18.3	0	1376.59	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	595	2.21	60102	15752	1	98.82	3.82	1488	113	1545.34	1851.41	1545.34	0.055	0	99	96	100	90	18.38	49.9	16.63	0	1397.7	0	0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1210.29	1677.55	1210.29	0.0002	0	100	100	100	100	19.58	54.8	18.27	0	1407.31	0	-0.002	4	321	234	67	154.88	17543.75
preact	True	605	2.18	27622	10088	1	100	2.74	1020	104	1360.26	1637.19	1360.26	0.0001	0	99.8	100	100	90	18.67	30	10	0	1373.17	0	-0.001	12	776	461	101	585.8	25344.18
qwik	True	1092	2.25	91158	34628	13	100	2.63	1501	112	1416.4	2121.74	1416.4	0.8165	0	78.8	96	100	90	21.84	54.8	18.27	0	1378.18	0	-0.002	16	754	414	83	862.46	26425.59
react	True	1102	2.31	158538	50256	1	100	3.15	1019	105	1944.13	2248.59	1944.13	0.0002	159	93.4	100	100	90	26.43	40	5.56	0	1418.58	0	-0.001	13	762	438	90	634.69	24213.69
solid	True	897	2.18	26458	9243	1	100	2.86	1491	113	1387.52	1541.47	1387.52	0.0001	0	99.8	100	100	90	26.52	20	6.67	0	1374.4	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	2568	2.27	117668	38609	11	68.6	3.05	1026	104	1665.2	2088.64	1665.2	0	5.1	98.2	100	96	90	18.41	59.8	19.93	0	1368.14	0	0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1238.47	1530.69	1238.47	0.146	0	94	100	96	90	17.86	0	0	0	1427.28	0	-0.006	3	560	426	74	71.69	20768.9
vanjs	True	534	2.17	17211	5999	1	96.97	2.87	1019	104	1211.16	1391.94	1211.16	0.0001	0	100	100	100	90	21.86	44.9	14.97	0	1365.96	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1124	2.23	76585	29349	1	100	2.61	1517	112	1655.79	1845.08	1655.79	0.0001	0	99	100	100	90	26.92	49.9	16.63	0	1372.08	0	-0.003	11	677	217	57	686.46	10853.47
